claim_id,family_id,child_id,provider_id,program_id,eligibility_id,employee_id,geo_id,enrollment_date,end_date,subsidy_amount,payment_status,attendance_days,enrollment_count,waitlist_count,recertification_count,termination_count,attrition_count,target_enrollment,actual_enrollment,attendance_rate,avg_program_duration_days,compliance_status,referral_count,family_participation_score,case_manager_id,last_updated_timestamp
CLM_000013,FAM_000738,CH_005746,PRV_001614,PGM_00326,ELG_003089,EMP_000230,GEO_0110,2016-03-07,2026-07-14,4636.59,Pending,173,1,10,2,0,1,50,210,89.44,358,Compliant,1,49.05,EMP_000900,2025-11-14 15:16:57.140971
CLM_000014,FAM_001297,CH_005801,PRV_002692,PGM_00324,ELG_000327,EMP_000685,GEO_0052,2025-07-07,2025-12-15,4380.26,Paid,20,1,1,0,1,1,165,192,87.98,347,Non-Compliant,3,95.19,EMP_000836,2025-11-14 15:16:57.140971
CLM_000015,FAM_001981,CH_002972,PRV_000239,PGM_00382,ELG_002610,EMP_001310,GEO_0068,2017-09-15,2026-01-27,614.03,Paid,174,1,9,0,2,2,74,124,52.53,187,Compliant,6,8.56,EMP_000492,2025-11-14 15:16:57.140971
CLM_000016,FAM_002247,CH_004573,PRV_000352,PGM_00228,ELG_001434,EMP_001442,GEO_0035,2019-01-10,2026-06-01,2326.37,Paid,133,1,5,3,1,0,34,220,23.62,244,Compliant,1,56.51,EMP_001393,2025-11-14 15:16:57.140971
CLM_000017,FAM_000663,CH_003627,PRV_002505,PGM_00457,ELG_003886,EMP_000827,GEO_0111,2016-10-20,2025-11-29,1989.2,Pending,65,1,5,0,2,1,197,18,75.83,270,Non-Compliant,1,87.78,EMP_000591,2025-11-14 15:16:57.140971
CLM_000018,FAM_000852,CH_003452,PRV_001404,PGM_00240,ELG_002342,EMP_001493,GEO_0044,2020-08-27,2026-04-24,3950.71,Paid,112,1,8,3,0,1,260,281,93.05,179,Non-Compliant,6,40.96,EMP_001130,2025-11-14 15:16:57.140971
CLM_000019,FAM_002950,CH_002931,PRV_002112,PGM_00436,ELG_001054,EMP_001389,GEO_0113,2016-01-29,2026-05-22,4155.5,Pending,37,1,4,0,1,1,231,181,63.67,289,Pending,1,37.33,EMP_001033,2025-11-14 15:16:57.140971
CLM_000020,FAM_000917,CH_003033,PRV_002210,PGM_00067,ELG_003337,EMP_000225,GEO_0037,2016-07-18,2026-02-20,2700.93,Pending,133,1,4,3,0,0,251,269,86.14,220,Pending,0,49.78,EMP_000998,2025-11-14 15:16:57.140971
CLM_000021,FAM_000294,CH_005363,PRV_002336,PGM_00462,ELG_003038,EMP_000426,GEO_0042,2017-10-12,2026-01-11,3321.63,Paid,127,1,9,3,2,1,188,156,25.05,306,Compliant,5,58.43,EMP_000719,2025-11-14 15:16:57.140971
CLM_000022,FAM_002883,CH_007174,PRV_000368,PGM_00077,ELG_002227,EMP_000759,GEO_0089,2018-02-28,2026-01-14,1409.86,Denied,80,1,9,3,0,2,167,45,47.87,193,Non-Compliant,4,72.47,EMP_000901,2025-11-14 15:16:57.140971
CLM_000023,FAM_001628,CH_009380,PRV_001633,PGM_00059,ELG_000113,EMP_000024,GEO_0026,2020-04-16,2026-07-27,268.99,Pending,120,1,8,3,1,1,216,86,26.78,315,Compliant,1,39.17,EMP_000985,2025-11-14 15:16:57.140971
CLM_000024,FAM_001270,CH_009045,PRV_000435,PGM_00018,ELG_002261,EMP_000614,GEO_0165,2020-05-04,2026-09-17,4579.92,Paid,38,1,6,1,1,2,173,58,40.15,280,Non-Compliant,7,35.79,EMP_000735,2025-11-14 15:16:57.140971
CLM_000025,FAM_001733,CH_008159,PRV_000919,PGM_00229,ELG_001998,EMP_000438,GEO_0173,2021-04-28,2026-07-28,4453.6,Denied,75,1,8,1,2,1,171,111,46.86,306,Compliant,6,42.57,EMP_000297,2025-11-14 15:16:57.140971
CLM_000026,FAM_002758,CH_003645,PRV_001330,PGM_00253,ELG_002347,EMP_000160,GEO_0071,2018-10-03,2026-04-27,89.08,Paid,115,1,6,2,2,0,11,127,94.47,163,Non-Compliant,2,43.93,EMP_000372,2025-11-14 15:16:57.140971
CLM_000027,FAM_000415,CH_000264,PRV_001343,PGM_00156,ELG_002836,EMP_001081,GEO_0099,2016-05-05,2026-07-13,2952.4,Paid,167,1,0,2,0,2,267,28,32.33,105,Compliant,0,49.53,EMP_001472,2025-11-14 15:16:57.140971
CLM_000028,FAM_000159,CH_007265,PRV_001491,PGM_00043,ELG_003536,EMP_000430,GEO_0119,2021-10-08,2026-08-01,3437.34,Denied,14,1,7,3,0,1,25,190,57.95,151,Compliant,2,20.87,EMP_001246,2025-11-14 15:16:57.140971
CLM_000029,FAM_001757,CH_006514,PRV_000185,PGM_00439,ELG_000529,EMP_001333,GEO_0190,2021-06-10,2026-08-29,1589.09,Denied,142,1,4,2,1,2,166,62,73.38,347,Non-Compliant,4,19.17,EMP_000289,2025-11-14 15:16:57.140971
CLM_000030,FAM_000249,CH_002344,PRV_000737,PGM_00007,ELG_000597,EMP_001151,GEO_0153,2018-02-16,2026-10-23,78.67,Denied,1,1,5,1,0,0,176,90,31.62,332,Non-Compliant,4,14.78,EMP_000634,2025-11-14 15:16:57.140971
CLM_000031,FAM_001148,CH_005549,PRV_002964,PGM_00365,ELG_003635,EMP_000389,GEO_0029,2021-01-17,2026-05-20,662.8,Denied,104,1,6,1,0,1,264,248,34.94,71,Non-Compliant,4,65.1,EMP_000842,2025-11-14 15:16:57.140971
CLM_000032,FAM_001660,CH_002525,PRV_002927,PGM_00362,ELG_001423,EMP_000359,GEO_0034,2015-12-11,2026-04-12,2388.5,Pending,80,1,8,1,0,2,138,267,50.6,291,Non-Compliant,7,55.84,EMP_000200,2025-11-14 15:16:57.140971
CLM_000033,FAM_001594,CH_009301,PRV_001757,PGM_00269,ELG_002176,EMP_000614,GEO_0046,2018-07-31,2026-08-19,3249.13,Denied,44,1,2,3,0,2,227,76,93.85,41,Non-Compliant,3,88.34,EMP_000869,2025-11-14 15:16:57.140971
CLM_000034,FAM_000725,CH_005594,PRV_000197,PGM_00400,ELG_003683,EMP_001240,GEO_0151,2020-11-15,2026-10-25,3654.15,Pending,56,1,4,2,0,0,265,237,93.2,114,Pending,8,40.79,EMP_000643,2025-11-14 15:16:57.140971
CLM_000035,FAM_000417,CH_002009,PRV_000834,PGM_00379,ELG_002321,EMP_001407,GEO_0095,2018-03-04,2026-02-23,284.84,Denied,146,1,8,1,1,1,75,159,30.87,110,Compliant,7,92.64,EMP_001198,2025-11-14 15:16:57.140971
CLM_000036,FAM_000091,CH_002429,PRV_000661,PGM_00490,ELG_002065,EMP_000027,GEO_0011,2015-12-18,2026-07-05,1683.48,Paid,89,1,2,2,1,0,220,275,78.94,42,Pending,9,3.12,EMP_000505,2025-11-14 15:16:57.140971
CLM_000037,FAM_000015,CH_006063,PRV_000669,PGM_00183,ELG_002937,EMP_000155,GEO_0118,2021-03-31,2026-02-25,2108.72,Denied,26,1,7,3,2,1,187,70,38.5,98,Compliant,3,19.58,EMP_000434,2025-11-14 15:16:57.140971
CLM_000038,FAM_002374,CH_004930,PRV_001753,PGM_00353,ELG_001065,EMP_000118,GEO_0168,2025-11-02,2026-05-10,4055.14,Denied,97,1,7,1,0,1,53,270,87.4,239,Non-Compliant,7,99.34,EMP_001250,2025-11-14 15:16:57.140971
CLM_000039,FAM_002168,CH_000128,PRV_001157,PGM_00339,ELG_001308,EMP_000701,GEO_0187,2017-05-31,2026-01-16,2811.2,Denied,173,1,3,0,0,2,138,223,63.34,326,Compliant,8,75.71,EMP_000132,2025-11-14 15:16:57.140971
CLM_000040,FAM_001959,CH_002017,PRV_002878,PGM_00242,ELG_000075,EMP_000404,GEO_0084,2025-08-05,2026-07-25,601.35,Pending,128,1,1,1,2,1,99,205,46.78,193,Non-Compliant,0,3.63,EMP_000436,2025-11-14 15:16:57.140971
CLM_000041,FAM_002033,CH_007109,PRV_001643,PGM_00058,ELG_001284,EMP_000132,GEO_0058,2016-12-25,2026-11-08,1259.97,Pending,94,1,3,2,1,0,162,146,62.3,25,Pending,0,91.45,EMP_000281,2025-11-14 15:16:57.140971
CLM_000042,FAM_000818,CH_007445,PRV_001111,PGM_00319,ELG_000633,EMP_000595,GEO_0124,2024-05-27,2026-09-02,3273.61,Denied,60,1,3,1,0,1,86,148,58.56,178,Pending,4,96.4,EMP_000302,2025-11-14 15:16:57.140971
CLM_000043,FAM_001129,CH_005825,PRV_000208,PGM_00342,ELG_001982,EMP_000208,GEO_0120,2020-02-10,2026-08-31,3823.82,Pending,153,1,7,2,0,0,135,149,57.61,240,Pending,8,44.03,EMP_000907,2025-11-14 15:16:57.140971
CLM_000044,FAM_001916,CH_001565,PRV_000216,PGM_00008,ELG_002537,EMP_000674,GEO_0009,2018-10-22,2026-01-18,8.77,Paid,14,1,0,0,2,1,142,95,54.89,17,Non-Compliant,9,36.36,EMP_000475,2025-11-14 15:16:57.140971
CLM_000045,FAM_002116,CH_008968,PRV_001209,PGM_00365,ELG_001636,EMP_000309,GEO_0123,2020-09-06,2026-03-19,990.35,Paid,163,1,7,0,2,2,260,241,53.87,272,Compliant,4,55.94,EMP_000692,2025-11-14 15:16:57.140971
CLM_000046,FAM_002426,CH_006748,PRV_002096,PGM_00472,ELG_003301,EMP_000905,GEO_0025,2023-05-14,2025-11-18,4382.54,Paid,81,1,1,1,0,2,211,203,43.84,365,Compliant,10,54.3,EMP_000960,2025-11-14 15:16:57.140971
CLM_000047,FAM_002935,CH_006734,PRV_002403,PGM_00397,ELG_000428,EMP_000692,GEO_0056,2019-12-01,2026-08-17,4223.25,Paid,38,1,4,2,1,0,292,241,55.0,297,Compliant,4,77.83,EMP_000252,2025-11-14 15:16:57.140971
CLM_000048,FAM_002006,CH_007116,PRV_002646,PGM_00319,ELG_002285,EMP_000171,GEO_0122,2022-08-12,2026-07-17,1928.07,Denied,132,1,6,0,0,2,36,42,82.88,186,Non-Compliant,1,45.46,EMP_000230,2025-11-14 15:16:57.140971
CLM_000049,FAM_001533,CH_001047,PRV_000336,PGM_00392,ELG_003196,EMP_001280,GEO_0199,2017-11-30,2026-02-15,1429.25,Paid,75,1,1,3,0,0,103,31,39.77,233,Non-Compliant,6,21.19,EMP_000469,2025-11-14 15:16:57.140971
CLM_000050,FAM_001427,CH_003636,PRV_001159,PGM_00428,ELG_000416,EMP_001318,GEO_0174,2022-04-17,2026-10-31,4084.88,Pending,15,1,5,2,2,1,24,163,50.05,120,Compliant,4,11.01,EMP_000463,2025-11-14 15:16:57.140971
CLM_000051,FAM_001026,CH_007157,PRV_002297,PGM_00322,ELG_003030,EMP_000591,GEO_0106,2018-12-16,2026-07-01,3998.43,Paid,88,1,2,0,2,0,39,152,81.55,178,Pending,0,32.79,EMP_000183,2025-11-14 15:16:57.140971
CLM_000052,FAM_001821,CH_004291,PRV_001064,PGM_00396,ELG_002381,EMP_000561,GEO_0096,2024-03-21,2026-03-24,690.67,Paid,123,1,10,3,0,2,32,200,39.48,94,Non-Compliant,1,4.04,EMP_001492,2025-11-14 15:16:57.140971
CLM_000053,FAM_002515,CH_001611,PRV_001748,PGM_00123,ELG_003094,EMP_000296,GEO_0074,2021-01-27,2025-11-24,4723.16,Paid,15,1,4,0,2,1,60,119,29.86,250,Compliant,10,91.3,EMP_000510,2025-11-14 15:16:57.140971
CLM_000054,FAM_002878,CH_002600,PRV_001611,PGM_00303,ELG_003297,EMP_000024,GEO_0133,2017-12-12,2026-04-28,295.05,Pending,166,1,4,3,0,1,94,206,90.83,129,Compliant,1,40.27,EMP_001484,2025-11-14 15:16:57.140971
CLM_000055,FAM_002125,CH_006760,PRV_002175,PGM_00133,ELG_000765,EMP_000418,GEO_0177,2019-08-17,2026-06-18,3001.26,Pending,143,1,6,2,2,1,58,15,96.1,80,Non-Compliant,0,51.6,EMP_000654,2025-11-14 15:16:57.140971
CLM_000056,FAM_001515,CH_002142,PRV_001512,PGM_00052,ELG_001413,EMP_001436,GEO_0188,2023-03-04,2026-09-12,2919.75,Pending,91,1,6,0,2,2,98,227,84.23,216,Pending,0,65.85,EMP_001175,2025-11-14 15:16:57.140971
CLM_000057,FAM_000964,CH_007926,PRV_002442,PGM_00333,ELG_003812,EMP_001005,GEO_0187,2023-04-19,2026-07-15,2739.98,Denied,82,1,6,0,2,0,118,166,40.16,184,Compliant,9,96.92,EMP_001142,2025-11-14 15:16:57.140971
CLM_000058,FAM_001116,CH_006987,PRV_002133,PGM_00161,ELG_002589,EMP_001077,GEO_0161,2020-05-07,2026-07-13,2640.54,Denied,79,1,10,3,0,0,203,80,96.53,313,Pending,6,8.66,EMP_000098,2025-11-14 15:16:57.140971
CLM_000059,FAM_001983,CH_005738,PRV_002883,PGM_00415,ELG_002468,EMP_001350,GEO_0017,2022-09-21,2026-02-17,278.59,Pending,84,1,0,0,0,1,114,174,87.03,107,Non-Compliant,3,98.06,EMP_001361,2025-11-14 15:16:57.140971
CLM_000060,FAM_002048,CH_009726,PRV_000443,PGM_00059,ELG_001408,EMP_000857,GEO_0030,2017-12-03,2025-11-30,2066.07,Pending,136,1,2,3,2,1,230,122,41.21,125,Pending,7,42.73,EMP_000206,2025-11-14 15:16:57.140971
CLM_000061,FAM_000067,CH_000852,PRV_001270,PGM_00159,ELG_000893,EMP_000038,GEO_0068,2018-10-12,2026-09-09,3328.26,Pending,172,1,7,0,1,2,239,208,64.38,127,Non-Compliant,8,3.71,EMP_000368,2025-11-14 15:16:57.140971
CLM_000062,FAM_001288,CH_000865,PRV_002354,PGM_00058,ELG_002577,EMP_001444,GEO_0185,2021-09-17,2026-01-18,4630.86,Pending,54,1,1,3,1,1,244,285,72.57,325,Compliant,5,69.5,EMP_000004,2025-11-14 15:16:57.140971
CLM_000063,FAM_002074,CH_008951,PRV_000409,PGM_00033,ELG_000992,EMP_000709,GEO_0155,2023-11-29,2026-06-07,4473.02,Paid,126,1,8,0,2,1,28,108,71.33,316,Pending,0,56.57,EMP_000066,2025-11-14 15:16:57.140971
CLM_000064,FAM_002113,CH_005960,PRV_002855,PGM_00130,ELG_001355,EMP_001449,GEO_0145,2021-06-04,2026-04-14,3599.35,Denied,150,1,6,2,1,1,13,159,23.13,326,Compliant,9,40.6,EMP_000596,2025-11-14 15:16:57.140971
CLM_000065,FAM_000331,CH_006225,PRV_002088,PGM_00267,ELG_001387,EMP_000793,GEO_0075,2023-01-27,2026-08-02,3509.12,Denied,57,1,5,0,1,1,83,54,70.7,220,Non-Compliant,7,8.45,EMP_000042,2025-11-14 15:16:57.140971
CLM_000066,FAM_001821,CH_003853,PRV_000555,PGM_00445,ELG_001400,EMP_000760,GEO_0103,2021-04-04,2026-03-18,2284.03,Pending,92,1,1,3,0,1,191,144,53.44,323,Compliant,9,18.28,EMP_000195,2025-11-14 15:16:57.140971
CLM_000067,FAM_001490,CH_008598,PRV_002390,PGM_00048,ELG_002082,EMP_000370,GEO_0017,2025-08-06,2026-03-24,1038.57,Paid,136,1,7,3,1,2,106,31,42.48,197,Non-Compliant,5,11.43,EMP_001254,2025-11-14 15:16:57.140971
CLM_000068,FAM_002710,CH_005883,PRV_001414,PGM_00110,ELG_002005,EMP_000749,GEO_0158,2024-01-04,2026-08-19,2576.91,Denied,99,1,5,3,1,0,98,281,59.76,172,Pending,0,92.59,EMP_000735,2025-11-14 15:16:57.140971
CLM_000069,FAM_000653,CH_000096,PRV_001457,PGM_00024,ELG_001473,EMP_001399,GEO_0189,2020-01-04,2026-06-19,4360.49,Paid,158,1,10,3,0,1,49,81,87.01,106,Compliant,10,40.53,EMP_001433,2025-11-14 15:16:57.140971
CLM_000070,FAM_000272,CH_009603,PRV_000465,PGM_00196,ELG_002700,EMP_000130,GEO_0131,2024-07-17,2026-02-04,2102.16,Paid,82,1,10,1,0,0,110,104,30.92,323,Compliant,4,63.16,EMP_000590,2025-11-14 15:16:57.140971
CLM_000071,FAM_001784,CH_008853,PRV_002744,PGM_00169,ELG_002298,EMP_001136,GEO_0025,2020-02-29,2026-03-13,653.5,Pending,121,1,0,1,2,0,182,229,97.6,258,Pending,5,52.31,EMP_000639,2025-11-14 15:16:57.140971
CLM_000072,FAM_000174,CH_007607,PRV_000733,PGM_00231,ELG_000891,EMP_001092,GEO_0186,2023-05-07,2025-11-14,413.35,Denied,179,1,0,1,0,2,173,251,23.04,247,Non-Compliant,0,9.63,EMP_000195,2025-11-14 15:16:57.140971
CLM_000073,FAM_002021,CH_009482,PRV_002232,PGM_00411,ELG_002663,EMP_000177,GEO_0104,2018-11-13,2026-11-08,2155.08,Pending,133,1,9,1,2,0,58,137,52.21,324,Pending,4,79.48,EMP_000673,2025-11-14 15:16:57.140971
CLM_000074,FAM_001772,CH_003449,PRV_002771,PGM_00438,ELG_003738,EMP_001449,GEO_0180,2020-07-05,2025-12-07,2569.58,Paid,23,1,2,0,0,0,211,74,97.25,67,Pending,8,85.13,EMP_000034,2025-11-14 15:16:57.140971
CLM_000075,FAM_000020,CH_007412,PRV_001757,PGM_00256,ELG_002672,EMP_001130,GEO_0107,2021-08-20,2026-02-23,4438.68,Paid,129,1,6,1,0,0,295,90,49.81,82,Pending,6,44.39,EMP_001327,2025-11-14 15:16:57.140971
CLM_000076,FAM_002235,CH_005626,PRV_002649,PGM_00107,ELG_003150,EMP_001029,GEO_0056,2021-08-25,2026-07-22,195.78,Pending,113,1,1,2,2,2,273,80,86.93,300,Pending,7,7.28,EMP_000369,2025-11-14 15:16:57.140971
CLM_000077,FAM_001245,CH_001061,PRV_000305,PGM_00456,ELG_003219,EMP_000537,GEO_0164,2018-11-24,2026-09-23,1322.73,Pending,107,1,9,0,2,2,125,72,53.62,236,Compliant,9,2.12,EMP_001371,2025-11-14 15:16:57.140971
CLM_000078,FAM_000245,CH_000818,PRV_002660,PGM_00414,ELG_002935,EMP_001368,GEO_0112,2020-11-25,2026-06-02,3480.61,Pending,116,1,8,1,2,0,121,211,48.79,257,Non-Compliant,6,36.08,EMP_000522,2025-11-14 15:16:57.140971
CLM_000079,FAM_001166,CH_001031,PRV_001784,PGM_00233,ELG_002396,EMP_000565,GEO_0029,2023-01-21,2025-11-20,2203.75,Paid,63,1,5,1,2,0,121,208,57.43,321,Compliant,6,60.38,EMP_000880,2025-11-14 15:16:57.140971
CLM_000080,FAM_002737,CH_009176,PRV_001617,PGM_00020,ELG_000766,EMP_000529,GEO_0160,2020-10-14,2026-10-01,135.59,Paid,116,1,1,0,0,1,270,151,64.26,173,Compliant,2,48.98,EMP_000646,2025-11-14 15:16:57.140971
CLM_000081,FAM_000857,CH_001459,PRV_001817,PGM_00484,ELG_002391,EMP_000825,GEO_0049,2016-06-01,2026-08-23,1795.79,Paid,31,1,10,2,1,0,193,27,34.55,345,Non-Compliant,5,5.91,EMP_000957,2025-11-14 15:16:57.140971
CLM_000082,FAM_002210,CH_008274,PRV_000396,PGM_00428,ELG_001406,EMP_001372,GEO_0048,2020-10-15,2026-09-08,851.14,Pending,20,1,9,3,0,1,18,96,79.41,51,Pending,6,42.96,EMP_000454,2025-11-14 15:16:57.140971
CLM_000083,FAM_001926,CH_004943,PRV_002446,PGM_00156,ELG_002784,EMP_000496,GEO_0130,2016-09-20,2026-05-04,2585.38,Pending,176,1,10,2,0,2,254,159,66.41,17,Compliant,5,82.44,EMP_000323,2025-11-14 15:16:57.140971
CLM_000084,FAM_002171,CH_005961,PRV_002299,PGM_00327,ELG_002983,EMP_000014,GEO_0126,2018-11-07,2026-02-09,3826.07,Denied,25,1,8,0,1,0,154,81,56.28,174,Non-Compliant,3,90.9,EMP_000297,2025-11-14 15:16:57.140971
CLM_000085,FAM_000325,CH_009882,PRV_001038,PGM_00102,ELG_003637,EMP_001141,GEO_0006,2017-12-06,2026-07-20,403.54,Pending,175,1,1,1,0,0,280,253,55.56,258,Compliant,6,47.97,EMP_000823,2025-11-14 15:16:57.140971
CLM_000086,FAM_000003,CH_002296,PRV_001280,PGM_00401,ELG_003187,EMP_000034,GEO_0074,2018-03-25,2026-07-05,2886.89,Paid,67,1,7,3,0,2,255,90,27.68,291,Compliant,3,22.61,EMP_000264,2025-11-14 15:16:57.140971
CLM_000087,FAM_001630,CH_009583,PRV_000939,PGM_00356,ELG_002877,EMP_000873,GEO_0017,2023-08-11,2026-06-25,991.48,Denied,49,1,9,0,0,0,199,76,34.97,355,Compliant,6,58.15,EMP_000062,2025-11-14 15:16:57.140971
CLM_000088,FAM_001184,CH_006780,PRV_000177,PGM_00161,ELG_003876,EMP_000194,GEO_0136,2022-08-14,2026-04-17,3880.9,Paid,31,1,8,3,1,2,171,295,78.68,292,Pending,1,10.19,EMP_001108,2025-11-14 15:16:57.140971
CLM_000089,FAM_000606,CH_004277,PRV_000979,PGM_00312,ELG_001921,EMP_000419,GEO_0003,2019-12-16,2026-02-17,4741.44,Denied,36,1,10,1,1,0,252,8,52.43,99,Non-Compliant,3,65.25,EMP_000234,2025-11-14 15:16:57.140971
CLM_000090,FAM_002070,CH_001160,PRV_000285,PGM_00368,ELG_000214,EMP_000206,GEO_0054,2016-10-20,2026-02-15,1156.13,Denied,83,1,7,2,1,0,208,296,62.52,320,Pending,0,91.01,EMP_001373,2025-11-14 15:16:57.140971
CLM_000091,FAM_001221,CH_003708,PRV_002317,PGM_00131,ELG_002531,EMP_000681,GEO_0106,2021-07-17,2026-10-22,64.86,Denied,122,1,4,0,2,1,215,144,86.64,53,Non-Compliant,5,55.58,EMP_000390,2025-11-14 15:16:57.140971
CLM_000092,FAM_001535,CH_004848,PRV_001257,PGM_00130,ELG_003887,EMP_000530,GEO_0100,2022-04-02,2026-06-15,224.17,Paid,59,1,0,1,2,2,205,131,35.16,22,Non-Compliant,6,41.46,EMP_000694,2025-11-14 15:16:57.140971
CLM_000093,FAM_002473,CH_000020,PRV_000253,PGM_00477,ELG_000239,EMP_000510,GEO_0174,2018-01-15,2026-07-11,1090.63,Pending,115,1,7,1,0,0,280,39,36.91,312,Pending,3,63.61,EMP_000276,2025-11-14 15:16:57.140971
CLM_000094,FAM_002721,CH_003576,PRV_001137,PGM_00402,ELG_001325,EMP_001136,GEO_0097,2016-04-18,2026-04-08,3123.08,Paid,13,1,10,3,1,1,194,173,98.29,217,Non-Compliant,5,89.13,EMP_000288,2025-11-14 15:16:57.140971
CLM_000095,FAM_000180,CH_001060,PRV_001228,PGM_00393,ELG_002175,EMP_001132,GEO_0056,2023-10-24,2026-10-08,3356.83,Denied,21,1,9,2,0,2,65,17,40.86,312,Compliant,10,46.39,EMP_001087,2025-11-14 15:16:57.140971
CLM_000096,FAM_001264,CH_002163,PRV_002305,PGM_00459,ELG_001459,EMP_000708,GEO_0091,2017-12-13,2026-04-12,1396.73,Pending,10,1,8,0,0,0,118,277,27.89,345,Pending,6,57.14,EMP_000425,2025-11-14 15:16:57.140971
CLM_000097,FAM_002325,CH_005691,PRV_000310,PGM_00310,ELG_001074,EMP_000504,GEO_0020,2020-05-03,2025-12-28,561.95,Paid,44,1,0,3,1,1,121,287,62.6,357,Pending,4,60.34,EMP_001189,2025-11-14 15:16:57.140971
CLM_000098,FAM_000928,CH_006481,PRV_001287,PGM_00045,ELG_003448,EMP_000843,GEO_0118,2025-09-02,2025-12-20,1246.54,Denied,26,1,8,2,0,0,134,182,53.21,347,Pending,10,39.22,EMP_001297,2025-11-14 15:16:57.140971
CLM_000099,FAM_001390,CH_003377,PRV_000768,PGM_00441,ELG_001642,EMP_001221,GEO_0127,2017-07-02,2026-05-12,1358.03,Pending,75,1,7,1,2,0,58,87,76.25,23,Compliant,3,32.29,EMP_001448,2025-11-14 15:16:57.140971
CLM_000100,FAM_000152,CH_002777,PRV_002789,PGM_00035,ELG_001512,EMP_000800,GEO_0011,2016-05-13,2026-05-26,3786.22,Paid,128,1,3,0,0,2,200,134,71.6,299,Pending,1,35.06,EMP_000096,2025-11-14 15:16:57.140971
CLM_000101,FAM_001003,CH_007560,PRV_001584,PGM_00352,ELG_002743,EMP_000611,GEO_0120,2022-11-30,2026-10-25,1981.65,Pending,1,1,1,0,2,0,112,111,46.61,131,Pending,1,20.21,EMP_000718,2025-11-14 15:16:57.140971
