application_id,family_id,child_id,parent_employer,parent_income,job_type,application_date,application_status,Employer_Name,Income_Range,Job_Title,Employment_Status,Work_Location,Shift_Type,Hours_Per_Week,Start_Date,End_Date,Created_Date
APP_000101,FAM_002609,CH_004929,Scott-Trevino,148179.61,Full-Time,2022-05-04,Reviewed,Gonzales-Daniels,<25K,"Sound technician, broadcasting/film/video",Part-Time,Kellyshire,Flexible,14.07,2024-02-23,2026-08-04,2019-06-12
APP_000102,FAM_001261,CH_000185,Rodriguez LLC,76652.97,Full-Time,2019-03-11,Submitted,"Moore, Ortiz and Hunter",50K-75K,"Clinical scientist, histocompatibility and immunogenetics",Employed,South Loriberg,Night,29.73,2022-04-11,2026-06-04,2018-12-19
APP_000103,FAM_001563,CH_004821,Carr-Wilson,32502.72,Seasonal,2023-02-13,Approved,Sosa Ltd,>100K,"Production assistant, radio",Unemployed,West Jennifer,Night,35.6,2024-06-05,2026-11-06,2019-11-15
APP_000104,FAM_000629,CH_008366,Bowers-Garcia,57345.47,Part-Time,2016-07-24,Rejected,"Jones, Powell and Tyler",50K-75K,Event organiser,Part-Time,North Ashley,Day,23.79,2020-08-08,2025-11-24,2024-10-01
APP_000105,FAM_002688,CH_005365,Alvarez-Snyder,84827.29,Full-Time,2023-02-10,Reviewed,Woods-Pennington,50K-75K,Copy,Part-Time,West Roseshire,Flexible,24.55,2016-05-05,2026-05-17,2018-04-14
APP_000106,FAM_002238,CH_004348,Brooks Group,23248.41,Full-Time,2021-01-20,Approved,Lowe Ltd,>100K,Communications engineer,Unemployed,Katherinebury,Rotational,20.79,2024-09-29,2026-09-12,2019-09-13
APP_000107,FAM_002860,CH_005989,Bradley and Sons,80177.34,Contract,2016-12-25,Rejected,Salazar-Phillips,25K-50K,"Designer, multimedia",Employed,East Joshuafurt,Day,25.58,2022-12-28,2026-01-13,2017-01-23
APP_000108,FAM_000633,CH_005723,Melendez-Miller,60262.88,Part-Time,2020-09-04,Approved,Morgan-Park,>100K,Geographical information systems officer,Contract,South Rebekah,Rotational,55.43,2015-12-28,2026-09-20,2021-04-16
APP_000109,FAM_001119,CH_000429,Nelson LLC,87165.32,Part-Time,2024-04-04,Submitted,"Smith, Howard and Greene",>100K,Ophthalmologist,Employed,West George,Day,14.26,2016-10-27,2026-09-21,2025-07-03
APP_000110,FAM_001204,CH_002636,"Wells, Smith and Moore",114742.97,Seasonal,2019-05-15,Submitted,Gonzalez-Brown,>100K,"Clinical scientist, histocompatibility and immunogenetics",Unemployed,Matthewland,Rotational,14.24,2018-04-16,2026-08-06,2019-11-05
APP_000111,FAM_001546,CH_006068,Blanchard-Daniel,136111.88,Contract,2017-04-09,Rejected,Garcia LLC,>100K,"Geologist, engineering",Contract,New Sheila,Day,56.47,2016-06-03,2026-05-02,2017-12-20
APP_000112,FAM_001537,CH_007663,"Mcknight, Cruz and Barron",81050.53,Part-Time,2017-07-24,Submitted,"Ramirez, Weber and Wood",<25K,Theatre manager,Contract,Nicholasfurt,Night,10.43,2019-06-16,2025-12-22,2021-09-10
APP_000113,FAM_002234,CH_001128,Harris-Howard,20956.25,Part-Time,2023-04-08,Submitted,Gutierrez PLC,<25K,Sports coach,Unemployed,West Dawnview,Rotational,24.08,2022-07-15,2026-05-29,2017-01-05
APP_000114,FAM_000849,CH_007729,Harris-Ray,53393.65,Part-Time,2019-11-12,Reviewed,Porter-Fernandez,50K-75K,Osteopath,Employed,Dominguezport,Flexible,58.83,2025-09-18,2026-11-06,2023-04-09
APP_000115,FAM_000305,CH_006467,Blair-Robinson,23254.51,Part-Time,2016-10-05,Approved,"Vargas, Garcia and Lee",25K-50K,Further education lecturer,Part-Time,New Michael,Flexible,34.15,2016-10-02,2026-02-06,2025-06-24
APP_000116,FAM_000545,CH_000420,"Christensen, Aguilar and Marshall",18102.92,Part-Time,2018-11-14,Approved,Hamilton-Romero,<25K,Orthoptist,Contract,Christineshire,Rotational,58.24,2024-10-11,2026-10-22,2018-11-22
APP_000117,FAM_002577,CH_001554,Carrillo PLC,24515.37,Full-Time,2025-09-03,Submitted,Hall-Johnson,>100K,Database administrator,Contract,Josephville,Rotational,37.5,2022-03-12,2025-12-10,2021-04-10
