Integration_ID,Financial_ID,Program_ID,Provider_ID,Funding_ID,Region_ID,Transaction_Date_ID,Budget_Amount,Expenditure_Amount,Utilization_Percent,Grant_Amount,Donations_Received,Fund_Balance,Compliance_Score,Reimbursement_Claims,Claim_Status,Payment_Date,Audit_Flag,Reporting_Period,Financial_Manager,Data_Load_Timestamp,Created_DT,Updated_DT
FIN_000022,FID000022,PGM00302,PROV9920,FUND_0022,REG21,2024-03-01,1915818.05,1879116.67,98.08,1530940.35,50986.25,36701.38,82.61,170,Approved,2024-04-02,Y,2024-03,David Hutchinson,2025-11-19 15:54:45.256638,2024-03-01,2024-09-11
FIN_000023,FID000023,PGM00375,PROV9495,FUND_0023,REG79,2025-11-14,2274088.67,2137707.02,94.0,429996.26,221344.87,136381.65,84.43,88,Approved,2025-11-17,N,2025-11,Jennifer Carroll,2025-11-19 15:54:45.256638,2025-11-14,2026-03-22
FIN_000024,FID000024,PGM00361,PROV5768,FUND_0024,REG52,2025-03-06,1256307.22,1182517.08,94.13,718131.03,51829.54,73790.14,72.45,186,Rejected,2025-10-22,Y,2025-03,Anthony Frederick,2025-11-19 15:54:45.256638,2025-03-06,2025-03-31
FIN_000025,FID000025,PGM00307,PROV2905,FUND_0025,REG41,2025-10-18,540020.61,497808.87,92.18,71511.97,23471.83,42211.74,89.3,18,Pending,2025-10-21,Y,2025-10,David Foster,2025-11-19 15:54:45.256638,2025-10-18,2025-12-03
FIN_000026,FID000026,PGM00163,PROV7480,FUND_0026,REG24,2025-08-11,2773673.96,2606572.71,93.98,1151668.33,209913.58,167101.25,95.73,36,Approved,2025-11-18,Y,2025-08,James West,2025-11-19 15:54:45.256638,2025-08-11,2026-04-09
FIN_000027,FID000027,PGM00186,PROV5500,FUND_0027,REG52,2025-06-14,1645766.82,1038460.63,63.1,483071.23,43760.59,607306.19,72.73,165,Rejected,2025-07-18,N,2025-06,Breanna Jones,2025-11-19 15:54:45.257634,2025-06-14,2025-09-15
FIN_000028,FID000028,PGM00050,PROV7697,FUND_0028,REG29,2025-01-16,4635965.92,2790814.17,60.2,3375982.91,375611.73,1845151.75,80.92,171,Pending,2025-02-19,N,2025-01,Christine Patrick,2025-11-19 15:54:45.258148,2025-01-16,2025-11-27
FIN_000029,FID000029,PGM00056,PROV3857,FUND_0029,REG42,2024-09-11,3434726.46,2771742.23,80.7,942474.29,113812.58,662984.23,82.06,174,Approved,2025-05-21,Y,2024-09,Michael Bennett,2025-11-19 15:54:45.258148,2024-09-11,2025-05-03
FIN_000030,FID000030,PGM00172,PROV8724,FUND_0030,REG43,2024-09-29,4328222.91,3368568.33,77.83,2611332.65,193969.8,959654.58,95.41,19,Rejected,2025-10-01,N,2024-09,Natasha Sandoval,2025-11-19 15:54:45.258148,2024-09-29,2025-04-26
FIN_000031,FID000031,PGM00309,PROV8105,FUND_0031,REG11,2024-05-13,98982.94,77710.35,78.51,55382.13,2319.68,21272.59,91.27,43,Rejected,2024-11-11,Y,2024-05,Christian Collins,2025-11-19 15:54:45.258148,2024-05-13,2024-06-03
FIN_000032,FID000032,PGM00306,PROV1310,FUND_0032,REG74,2025-03-03,2511724.75,1906523.59,75.9,1291401.74,91745.63,605201.16,90.38,92,Rejected,2025-09-08,Y,2025-03,Diane Parker,2025-11-19 15:54:45.258148,2025-03-03,2025-10-06
FIN_000033,FID000033,PGM00047,PROV2074,FUND_0033,REG51,2023-11-27,2553031.04,1778203.85,69.65,455728.35,187839.51,774827.19,91.43,40,Rejected,2025-09-09,Y,2023-11,Matthew Henderson,2025-11-19 15:54:45.258148,2023-11-27,2024-05-31
FIN_000034,FID000034,PGM00415,PROV5032,FUND_0034,REG84,2023-12-13,4321124.47,4226983.19,97.82,2189139.61,221273.52,94141.28,80.05,41,Pending,2024-08-04,N,2023-12,Jose Smith,2025-11-19 15:54:45.259135,2023-12-13,2024-11-27
FIN_000035,FID000035,PGM00066,PROV3402,FUND_0035,REG91,2024-07-08,731663.59,526189.32,71.92,503157.11,43546.15,205474.27,81.15,90,Approved,2024-09-26,N,2024-07,Tara Mclaughlin,2025-11-19 15:54:45.259135,2024-07-08,2025-02-22
FIN_000036,FID000036,PGM00396,PROV3545,FUND_0036,REG10,2025-07-01,4074142.03,2821615.31,69.26,2279136.8,108680.65,1252526.72,83.32,28,Rejected,2025-10-21,N,2025-07,William Rodriguez,2025-11-19 15:54:45.259135,2025-07-01,2025-07-16
FIN_000037,FID000037,PGM00200,PROV6167,FUND_0037,REG87,2024-06-02,4647903.92,2704370.06,58.18,2932502.31,213581.44,1943533.86,72.05,147,Approved,2025-08-13,N,2024-06,Jacob Bishop,2025-11-19 15:54:45.259135,2024-06-02,2024-10-20
FIN_000038,FID000038,PGM00407,PROV1799,FUND_0038,REG13,2025-07-22,4483614.79,3035260.67,67.7,3293900.21,232326.86,1448354.12,76.27,88,Pending,2025-08-11,Y,2025-07,John Garcia,2025-11-19 15:54:45.259135,2025-07-22,2025-10-09
FIN_000039,FID000039,PGM00456,PROV4335,FUND_0039,REG71,2025-01-06,4814573.5,4679370.34,97.19,1457839.22,416856.94,135203.16,86.33,112,Rejected,2025-03-25,N,2025-01,Elizabeth Collier,2025-11-19 15:54:45.259135,2025-01-06,2025-10-26
FIN_000040,FID000040,PGM00426,PROV1644,FUND_0040,REG94,2024-03-29,1389520.92,712366.14,51.27,1004555.11,92539.1,677154.78,88.99,104,Approved,2024-04-17,Y,2024-03,Brooke Salas,2025-11-19 15:54:45.260131,2024-03-29,2024-05-01
FIN_000041,FID000041,PGM00103,PROV5640,FUND_0041,REG44,2024-09-30,4726728.58,4530381.76,95.85,766513.85,397326.61,196346.82,85.21,99,Approved,2025-01-29,N,2024-09,Paige King,2025-11-19 15:54:45.260131,2024-09-30,2024-12-17
FIN_000042,FID000042,PGM00384,PROV6600,FUND_0042,REG19,2025-06-17,1952968.62,1443441.28,73.91,446643.46,77967.98,509527.34,99.23,69,Pending,2025-07-04,N,2025-06,Mark Savage,2025-11-19 15:54:45.260131,2025-06-17,2025-08-19
FIN_000043,FID000043,PGM00427,PROV7731,FUND_0043,REG15,2023-11-23,1065910.34,705390.98,66.18,770283.42,64394.29,360519.36,70.52,13,Approved,2024-05-01,N,2023-11,Suzanne Allison,2025-11-19 15:54:45.260131,2023-11-23,2024-07-23
FIN_000044,FID000044,PGM00305,PROV7285,FUND_0044,REG62,2025-09-28,1323294.32,843415.76,63.74,436175.22,83471.57,479878.56,73.4,176,Pending,2025-11-12,Y,2025-09,Steven Galvan,2025-11-19 15:54:45.260131,2025-09-28,2025-09-29
FIN_000045,FID000045,PGM00056,PROV6938,FUND_0045,REG46,2024-10-04,1702374.55,1671663.73,98.2,1353873.82,87465.11,30710.82,80.43,127,Approved,2025-10-07,Y,2024-10,Joseph Ortiz,2025-11-19 15:54:45.260131,2024-10-04,2025-10-03
FIN_000046,FID000046,PGM00091,PROV2215,FUND_0046,REG18,2025-08-07,3080487.44,2771328.7,89.96,1503481.75,137658.2,309158.74,90.41,48,Pending,2025-09-29,Y,2025-08,Teresa Alexander,2025-11-19 15:54:45.261128,2025-08-07,2026-04-09
FIN_000047,FID000047,PGM00436,PROV8076,FUND_0047,REG67,2025-04-17,4651463.11,4403643.5,94.67,2229814.43,69010.17,247819.61,93.02,28,Rejected,2025-06-06,Y,2025-04,Teresa Collins,2025-11-19 15:54:45.261128,2025-04-17,2025-11-08
FIN_000048,FID000048,PGM00034,PROV6854,FUND_0048,REG59,2024-12-28,704827.27,662688.93,94.02,501174.11,19061.17,42138.34,84.49,108,Pending,2025-01-23,Y,2024-12,Justin Sutton,2025-11-19 15:54:45.261128,2024-12-28,2025-10-24
FIN_000049,FID000049,PGM00309,PROV9139,FUND_0049,REG72,2024-06-23,739251.18,611727.38,82.75,567159.04,25352.55,127523.8,78.25,79,Pending,2025-10-27,N,2024-06,Kathy Marshall,2025-11-19 15:54:45.261128,2024-06-23,2025-03-19
FIN_000050,FID000050,PGM00219,PROV7010,FUND_0050,REG79,2024-01-09,3748086.63,3343274.95,89.2,1204828.22,200394.97,404811.68,80.42,197,Approved,2025-04-18,N,2024-01,Mr. Michael Henderson,2025-11-19 15:54:45.261128,2024-01-09,2024-12-03
FIN_000051,FID000051,PGM00396,PROV2539,FUND_0051,REG61,2025-06-12,2459856.04,2409084.95,97.94,1892383.76,146641.39,50771.09,85.12,143,Approved,2025-11-02,Y,2025-06,Kelly King,2025-11-19 15:54:45.261128,2025-06-12,2025-06-12
FIN_000052,FID000052,PGM00218,PROV5589,FUND_0052,REG59,2025-10-01,4176766.67,2669979.3,63.92,478916.29,95909.14,1506787.37,72.61,174,Pending,2025-11-16,N,2025-10,Julie Castillo,2025-11-19 15:54:45.261128,2025-10-01,2025-11-18
FIN_000053,FID000053,PGM00500,PROV8179,FUND_0053,REG23,2024-06-23,3211013.88,2794091.33,87.02,2452163.38,90108.53,416922.55,86.14,133,Rejected,2024-09-01,Y,2024-06,Mark Bryan,2025-11-19 15:54:45.262131,2024-06-23,2024-08-31
FIN_000054,FID000054,PGM00346,PROV9030,FUND_0054,REG99,2025-07-14,878408.5,545701.06,62.12,655927.61,61513.62,332707.44,70.32,77,Approved,2025-10-23,N,2025-07,Daniel Ashley,2025-11-19 15:54:45.262131,2025-07-14,2025-09-05
FIN_000055,FID000055,PGM00181,PROV3909,FUND_0055,REG12,2024-09-30,2243902.08,1858203.34,82.81,1510482.31,203168.39,385698.74,84.43,7,Approved,2025-07-22,Y,2024-09,Veronica Hart,2025-11-19 15:54:45.262131,2024-09-30,2025-01-10
FIN_000056,FID000056,PGM00267,PROV7473,FUND_0056,REG47,2024-10-27,174878.61,150879.24,86.28,54596.62,8075.49,23999.37,94.08,109,Pending,2025-11-18,Y,2024-10,John Fuentes,2025-11-19 15:54:45.262131,2024-10-27,2024-11-26
FIN_000057,FID000057,PGM00017,PROV9636,FUND_0057,REG16,2024-12-23,3781976.97,3302101.85,87.31,2466164.56,176477.37,479875.12,94.77,127,Pending,2025-01-17,Y,2024-12,Tammy Thompson,2025-11-19 15:54:45.262131,2024-12-23,2025-03-01
FIN_000058,FID000058,PGM00127,PROV8142,FUND_0058,REG14,2025-07-25,1197842.1,849469.19,70.92,199845.32,114336.93,348372.91,96.04,191,Rejected,2025-09-16,Y,2025-07,Jeremy Shepard,2025-11-19 15:54:45.262131,2025-07-25,2026-05-05
FIN_000059,FID000059,PGM00002,PROV3625,FUND_0059,REG73,2024-11-25,3676515.06,2964699.12,80.64,2354642.67,72300.51,711815.94,72.8,67,Approved,2025-07-03,Y,2024-11,Sarah Berger,2025-11-19 15:54:45.262131,2024-11-25,2025-01-23
FIN_000060,FID000060,PGM00446,PROV2572,FUND_0060,REG16,2025-01-11,4760102.1,3664384.85,76.98,3070742.71,257794.48,1095717.25,88.01,23,Pending,2025-02-10,Y,2025-01,Megan Mason,2025-11-19 15:54:45.263122,2025-01-11,2025-08-10
FIN_000061,FID000061,PGM00440,PROV1451,FUND_0061,REG86,2025-06-29,882245.39,864590.31,98.0,510415.18,30043.54,17655.08,81.96,164,Pending,2025-10-24,Y,2025-06,Richard Terry,2025-11-19 15:54:45.263122,2025-06-29,2025-10-24
FIN_000062,FID000062,PGM00353,PROV3821,FUND_0062,REG28,2024-08-29,1211038.23,684079.9,56.49,262644.75,47318.86,526958.33,87.39,175,Pending,2024-11-16,Y,2024-08,Jacob Garcia,2025-11-19 15:54:45.263122,2024-08-29,2024-11-06
FIN_000063,FID000063,PGM00409,PROV3899,FUND_0063,REG20,2025-05-20,1654437.04,1465721.93,88.59,268229.89,37647.82,188715.11,80.38,36,Rejected,2025-08-23,N,2025-05,Mr. David Lewis,2025-11-19 15:54:45.263122,2025-05-20,2025-11-11
FIN_000064,FID000064,PGM00086,PROV5282,FUND_0064,REG85,2025-08-19,1916196.78,1886736.06,98.46,953618.8,39240.23,29460.72,92.97,182,Rejected,2025-10-14,Y,2025-08,Michele Ward,2025-11-19 15:54:45.264133,2025-08-19,2026-07-02
FIN_000065,FID000065,PGM00006,PROV6488,FUND_0065,REG21,2024-04-27,4040989.11,2045449.15,50.62,2097629.1,109194.66,1995539.96,73.6,141,Pending,2024-05-26,N,2024-04,Linda Mcintosh,2025-11-19 15:54:45.264133,2024-04-27,2025-03-22
FIN_000066,FID000066,PGM00496,PROV4796,FUND_0066,REG94,2024-11-18,2198406.01,1804269.82,82.07,713935.53,154547.04,394136.19,92.2,141,Rejected,2024-12-02,Y,2024-11,Lisa Hancock,2025-11-19 15:54:45.264133,2024-11-18,2025-02-26
FIN_000067,FID000067,PGM00204,PROV2399,FUND_0067,REG71,2024-12-31,1396139.11,969204.4,69.42,707841.21,132900.33,426934.71,80.15,141,Approved,2025-04-02,N,2024-12,Holly Simpson,2025-11-19 15:54:45.264133,2024-12-31,2025-12-10
FIN_000068,FID000068,PGM00086,PROV2497,FUND_0068,REG81,2025-07-11,1433411.85,1429463.13,99.72,191083.7,95664.09,3948.72,75.93,175,Approved,2025-10-31,Y,2025-07,Rose Price,2025-11-19 15:54:45.264133,2025-07-11,2025-09-09
FIN_000069,FID000069,PGM00416,PROV1437,FUND_0069,REG79,2024-06-26,1498244.39,1304103.06,87.04,865463.53,99021.66,194141.33,77.28,188,Pending,2025-05-08,Y,2024-06,Brent Jackson,2025-11-19 15:54:45.265134,2024-06-26,2025-04-08
FIN_000070,FID000070,PGM00223,PROV2885,FUND_0070,REG69,2023-12-19,513443.6,508845.57,99.1,297705.29,9785.79,4598.03,96.68,3,Rejected,2025-03-27,N,2023-12,William Bush,2025-11-19 15:54:45.265134,2023-12-19,2024-08-17
FIN_000071,FID000071,PGM00123,PROV7547,FUND_0071,REG18,2024-06-30,4904726.8,4017593.68,81.91,1115869.84,377519.43,887133.12,91.03,195,Approved,2025-05-17,Y,2024-06,Sheila Solomon,2025-11-19 15:54:45.265134,2024-06-30,2025-04-07
FIN_000072,FID000072,PGM00016,PROV5159,FUND_0072,REG91,2024-09-21,1536526.25,1502941.34,97.81,228421.09,21644.96,33584.91,79.8,150,Approved,2024-11-14,N,2024-09,David Huffman,2025-11-19 15:54:45.265960,2024-09-21,2025-08-28
FIN_000073,FID000073,PGM00027,PROV2231,FUND_0073,REG67,2025-05-11,2679104.25,1689737.57,63.07,2084796.48,139408.74,989366.68,71.82,131,Pending,2025-09-03,N,2025-05,Marcus Fitzpatrick,2025-11-19 15:54:45.265960,2025-05-11,2025-06-21
FIN_000074,FID000074,PGM00423,PROV9519,FUND_0074,REG59,2024-04-12,3157570.23,2377345.41,75.29,1804254.99,60367.67,780224.82,85.29,186,Rejected,2025-01-31,N,2024-04,Mark Morales,2025-11-19 15:54:45.265960,2024-04-12,2024-06-03
FIN_000075,FID000075,PGM00197,PROV9661,FUND_0075,REG19,2024-06-14,2434839.37,1240788.73,50.96,927611.11,64504.93,1194050.64,77.01,52,Approved,2025-02-24,Y,2024-06,Caitlin Robinson,2025-11-19 15:54:45.265960,2024-06-14,2025-03-07
FIN_000076,FID000076,PGM00323,PROV8094,FUND_0076,REG77,2025-06-23,4268117.25,3066736.87,71.85,2572567.6,76556.96,1201380.38,73.29,139,Rejected,2025-09-04,N,2025-06,Jessica Franklin,2025-11-19 15:54:45.265960,2025-06-23,2025-10-25
FIN_000077,FID000077,PGM00422,PROV7972,FUND_0077,REG14,2024-12-25,3232229.38,1790643.85,55.4,528331.78,184487.33,1441585.53,74.97,49,Approved,2025-06-27,Y,2024-12,Christina Moore,2025-11-19 15:54:45.265960,2024-12-25,2025-10-18
FIN_000078,FID000078,PGM00109,PROV6244,FUND_0078,REG80,2025-07-18,3888397.97,2326281.08,59.83,2630065.22,347776.94,1562116.89,99.32,185,Rejected,2025-08-29,N,2025-07,Pamela Bush,2025-11-19 15:54:45.265960,2025-07-18,2026-04-17
FIN_000079,FID000079,PGM00299,PROV5333,FUND_0079,REG91,2025-02-02,2164343.02,1966207.74,90.85,1707019.77,24789.91,198135.28,88.56,194,Pending,2025-10-31,N,2025-02,Mike Warner,2025-11-19 15:54:45.265960,2025-02-02,2025-10-03
FIN_000080,FID000080,PGM00145,PROV5331,FUND_0080,REG62,2024-02-06,3719086.63,2575109.37,69.24,1277300.79,98207.33,1143977.26,87.49,40,Pending,2024-06-12,Y,2024-02,Ashley Arroyo MD,2025-11-19 15:54:45.265960,2024-02-06,2025-01-02
FIN_000081,FID000081,PGM00468,PROV4021,FUND_0081,REG11,2025-01-10,1860079.72,1729370.2,92.97,1137179.51,165834.88,130709.52,87.56,71,Approved,2025-03-17,N,2025-01,Danielle Barry,2025-11-19 15:54:45.265960,2025-01-10,2025-01-29
FIN_000082,FID000082,PGM00252,PROV9654,FUND_0082,REG15,2025-10-08,2537408.03,1524332.16,60.07,1704281.57,89748.73,1013075.87,86.33,132,Approved,2025-10-25,Y,2025-10,Kristin French,2025-11-19 15:54:45.265960,2025-10-08,2026-07-21
FIN_000083,FID000083,PGM00246,PROV3962,FUND_0083,REG80,2024-03-20,3863595.23,3066100.39,79.36,2668596.37,262700.6,797494.84,95.69,122,Pending,2024-05-28,N,2024-03,Mario Clay,2025-11-19 15:54:45.265960,2024-03-20,2024-10-31
FIN_000084,FID000084,PGM00452,PROV6550,FUND_0084,REG87,2025-05-09,4509649.84,3453038.72,76.57,1614227.21,114512.97,1056611.12,97.38,114,Rejected,2025-05-19,N,2025-05,David Burke,2025-11-19 15:54:45.265960,2025-05-09,2026-03-18
FIN_000085,FID000085,PGM00295,PROV3143,FUND_0085,REG60,2025-01-28,1684060.28,1118624.39,66.42,724687.45,110290.33,565435.89,99.69,137,Rejected,2025-06-26,N,2025-01,Shawn Jennings,2025-11-19 15:54:45.265960,2025-01-28,2025-11-07
FIN_000086,FID000086,PGM00208,PROV3453,FUND_0086,REG79,2025-10-16,3311427.3,2918892.62,88.15,1533674.94,274493.37,392534.68,73.0,174,Rejected,2025-10-22,N,2025-10,Lori Olson,2025-11-19 15:54:45.265960,2025-10-16,2026-06-27
FIN_000087,FID000087,PGM00351,PROV8809,FUND_0087,REG12,2025-02-13,2337642.6,1252663.61,53.59,1286676.7,91006.89,1084978.99,93.02,52,Pending,2025-08-22,Y,2025-02,Mark Wagner,2025-11-19 15:54:45.265960,2025-02-13,2025-06-24
FIN_000088,FID000088,PGM00115,PROV7060,FUND_0088,REG86,2024-08-21,3533893.69,1915447.49,54.2,668694.26,201401.01,1618446.2,75.49,47,Pending,2025-07-05,N,2024-08,Bradley Padilla,2025-11-19 15:54:45.265960,2024-08-21,2025-07-14
FIN_000089,FID000089,PGM00261,PROV8539,FUND_0089,REG43,2025-06-26,3578428.26,2790964.36,77.99,1864855.95,93003.14,787463.9,82.79,167,Approved,2025-08-16,N,2025-06,Maria Casey,2025-11-19 15:54:45.265960,2025-06-26,2026-01-30
FIN_000090,FID000090,PGM00183,PROV1203,FUND_0090,REG59,2025-11-18,2873047.73,1736816.17,60.45,1440186.95,112244.32,1136231.56,88.07,151,Approved,2025-11-18,N,2025-11,Joy Phillips,2025-11-19 15:54:45.265960,2025-11-18,2026-11-07
FIN_000091,FID000091,PGM00486,PROV1926,FUND_0091,REG45,2024-10-08,1279982.02,669826.35,52.33,170853.22,64080.28,610155.67,81.03,9,Pending,2025-08-29,N,2024-10,Dylan Nelson,2025-11-19 15:54:45.265960,2024-10-08,2025-05-28
FIN_000092,FID000092,PGM00169,PROV9924,FUND_0092,REG14,2024-06-04,2630990.78,1815847.43,69.02,765820.92,198617.99,815143.35,88.44,129,Rejected,2025-01-28,Y,2024-06,Steven Boyd,2025-11-19 15:54:45.265960,2024-06-04,2024-06-23
FIN_000093,FID000093,PGM00241,PROV7488,FUND_0093,REG81,2025-05-04,4371389.86,2559637.62,58.55,3246822.44,185358.05,1811752.24,84.77,8,Rejected,2025-10-26,N,2025-05,Kurt Davis,2025-11-19 15:54:45.265960,2025-05-04,2025-06-30
FIN_000094,FID000094,PGM00407,PROV1242,FUND_0094,REG52,2025-10-09,3880868.34,2129589.81,54.87,1451219.99,164852.5,1751278.53,81.11,163,Rejected,2025-10-27,Y,2025-10,Shane Garcia,2025-11-19 15:54:45.265960,2025-10-09,2026-09-03
FIN_000095,FID000095,PGM00030,PROV9952,FUND_0095,REG32,2025-04-27,3562002.41,2991037.81,83.97,438946.35,217620.19,570964.6,76.26,106,Rejected,2025-10-30,N,2025-04,Terry Mccormick,2025-11-19 15:54:45.265960,2025-04-27,2025-12-22
FIN_000096,FID000096,PGM00446,PROV7243,FUND_0096,REG37,2024-05-18,3396079.74,1906802.89,56.15,1366476.91,234731.09,1489276.85,78.83,110,Approved,2024-09-16,N,2024-05,Natalie Kelley,2025-11-19 15:54:45.265960,2024-05-18,2025-01-04
FIN_000097,FID000097,PGM00271,PROV7538,FUND_0097,REG16,2025-08-07,3994892.21,3503410.97,87.7,1712552.61,196880.53,491481.24,87.07,144,Pending,2025-10-28,Y,2025-08,Katherine Hamilton,2025-11-19 15:54:45.265960,2025-08-07,2025-08-23
FIN_000098,FID000098,PGM00360,PROV3718,FUND_0098,REG13,2025-09-22,1926565.67,1341293.38,69.62,1224816.82,115085.0,585272.29,81.36,90,Rejected,2025-10-27,Y,2025-09,Jose Wright,2025-11-19 15:54:45.265960,2025-09-22,2025-10-15
FIN_000099,FID000099,PGM00032,PROV6603,FUND_0099,REG37,2024-06-30,773512.21,434838.36,56.22,154449.02,47901.17,338673.85,79.85,50,Pending,2024-07-05,N,2024-06,Kenneth Browning,2025-11-19 15:54:45.265960,2024-06-30,2025-03-03
FIN_000100,FID000100,PGM00265,PROV5936,FUND_0100,REG40,2024-07-30,966448.52,799418.19,82.72,657481.02,47385.2,167030.33,85.67,4,Approved,2025-10-01,N,2024-07,Teresa Brown,2025-11-19 15:54:45.265960,2024-07-30,2024-12-25
