campaign_id,event_id,campaign_name,channel,budget,start_date,end_date,success_rate,budget_amount,expenditure_amount,utilization_percent,grant_amount,donations_received,fund_balance,reimbursement_claims,claim_status,payment_date,audit_flag,reporting_period,financial_manager,data_load_timestamp
CMP_000011,EVT_000420,Customer-focused homogeneous extranet,Email,177081.21,2021-11-21,2026-06-15,74.71,76345.86,557168.52,74.02,1366362.37,356008.76,327722.03,2,Approved,2025-06-14,N,FY2020-Q4,Debra Pearson,2025-11-14 15:16:57.948035
CMP_000012,EVT_000491,Persistent multi-state process improvement,SMS,130672.05,2024-06-27,2026-02-03,86.74,4168278.19,1020589.89,199.22,455554.98,396647.07,255036.58,19,Rejected,2022-11-13,Y,FY2020-Q3,Meagan Gomez,2025-11-14 15:16:57.948035
CMP_000013,EVT_000196,Total impactful hardware,TV,300960.87,2016-03-01,2026-07-17,9.44,2928327.88,3394309.26,153.43,1892793.59,95298.73,467725.71,9,Approved,2024-05-17,N,FY2023-Q4,Anthony Garcia,2025-11-14 15:16:57.948035
CMP_000014,EVT_001121,Persistent optimizing middleware,Radio,303055.82,2024-03-06,2026-01-09,10.99,2084017.32,2829163.81,83.92,165724.85,425546.58,-41108.8,1,Rejected,2018-02-26,Y,FY2023-Q4,Teresa Rogers,2025-11-14 15:16:57.948035
CMP_000015,EVT_000432,Sharable well-modulated access,TV,300318.86,2019-12-23,2026-04-18,70.03,4914411.13,2758173.19,20.64,1697464.0,142715.62,324362.77,45,Approved,2018-07-16,N,FY2022-Q1,Devin Lee,2025-11-14 15:16:57.948035
CMP_000016,EVT_000629,Profound exuding encryption,SMS,236581.72,2025-09-14,2026-06-03,28.17,4900664.73,2433242.66,156.99,1906937.36,476215.73,14913.41,41,Rejected,2024-09-22,Y,FY2021-Q1,Richard Knight,2025-11-14 15:16:57.948035
CMP_000017,EVT_001308,Right-sized incremental workforce,Social,168330.85,2017-01-20,2026-09-26,51.49,1815319.23,1602744.96,78.86,1980453.62,443600.93,-72688.11,13,Pending,2018-05-07,N,FY2025-Q1,Brian Schaefer,2025-11-14 15:16:57.948035
CMP_000018,EVT_000769,Integrated system-worthy algorithm,SMS,422833.6,2020-01-18,2026-02-27,22.45,4596291.93,3823572.51,157.32,1772763.91,224100.31,56760.21,1,Approved,2019-12-07,Y,FY2020-Q4,Amy Mckinney,2025-11-14 15:16:57.948035
CMP_000019,EVT_000747,Enterprise-wide asynchronous strategy,Social,284101.89,2024-06-01,2026-03-23,32.01,2914241.95,3246469.59,184.3,493996.37,147162.03,10821.19,48,Pending,2017-03-06,Y,FY2023-Q3,Rachael Poole,2025-11-14 15:16:57.948035
CMP_000020,EVT_001977,Seamless next generation initiative,Email,402031.66,2018-09-28,2026-06-14,96.19,1315170.71,2128248.69,183.33,679166.93,247069.8,227073.54,20,Rejected,2020-05-17,N,FY2021-Q4,Robin Hayes,2025-11-14 15:16:57.948035
CMP_000021,EVT_000602,Multi-lateral actuating groupware,Radio,247509.27,2016-06-26,2026-08-16,60.36,4259497.49,3735374.97,172.25,1044861.43,19196.86,245156.94,18,Approved,2023-09-14,N,FY2021-Q3,Charles Sanchez,2025-11-14 15:16:57.948035
CMP_000022,EVT_000215,Profound 24hour knowledge user,TV,180162.68,2022-07-03,2026-02-03,6.71,1516429.6,591647.79,8.6,337298.13,162442.22,12713.06,25,Approved,2019-10-15,N,FY2020-Q3,Andrew Franklin,2025-11-14 15:16:57.948035
CMP_000023,EVT_001845,Exclusive systemic productivity,Radio,418348.18,2019-06-26,2026-10-09,51.6,2769207.31,1446831.83,101.61,1217575.97,345998.98,-63681.15,13,Approved,2020-06-15,Y,FY2021-Q2,William Cruz,2025-11-14 15:16:57.948035
CMP_000024,EVT_001672,Secured empowering installation,Email,323555.35,2020-12-27,2025-12-04,21.64,2220542.27,1569151.06,121.43,1105104.03,492348.99,399068.55,41,Approved,2021-08-14,N,FY2023-Q3,Nicole Rodriguez,2025-11-14 15:16:57.948035
CMP_000025,EVT_001927,Ergonomic homogeneous instruction set,TV,309846.73,2020-01-28,2026-03-28,63.62,1277170.39,2669601.14,136.01,1735748.44,461132.73,37981.95,15,Approved,2022-03-01,N,FY2025-Q2,Mr. Chad Weiss,2025-11-14 15:16:57.948035
CMP_000026,EVT_000056,Reverse-engineered even-keeled definition,Radio,307858.15,2023-12-25,2026-05-05,70.42,587897.07,3893616.68,192.55,1437919.63,378685.76,375545.5,13,Pending,2024-06-21,Y,FY2022-Q1,Michael Foster,2025-11-14 15:16:57.948035
CMP_000027,EVT_000467,Organized client-server attitude,Radio,486408.0,2023-09-20,2026-02-20,49.6,3028714.03,1867541.17,143.89,1346960.57,373807.24,86252.69,46,Approved,2021-01-21,N,FY2024-Q3,Ronald Garza,2025-11-14 15:16:57.948035
CMP_000028,EVT_001215,Ameliorated incremental framework,TV,394527.05,2025-03-20,2026-06-18,83.12,4233021.61,929947.29,33.49,177696.71,802.67,443422.29,11,Approved,2018-05-08,Y,FY2024-Q3,Rebecca Keller,2025-11-14 15:16:57.948035
CMP_000029,EVT_001561,User-friendly background product,Email,177856.8,2017-02-08,2026-05-27,0.1,3651905.82,2863999.6,134.52,1048561.28,265380.82,258754.59,35,Rejected,2024-05-14,Y,FY2025-Q4,Scott Moore,2025-11-14 15:16:57.948035
CMP_000030,EVT_000543,Triple-buffered scalable methodology,Radio,286396.15,2024-08-29,2026-09-29,11.83,765455.93,169732.63,149.56,1751816.6,146712.63,89021.91,5,Rejected,2019-04-10,N,FY2024-Q4,Jason Esparza,2025-11-14 15:16:57.948035
CMP_000031,EVT_000086,Decentralized local throughput,Social,369486.25,2018-07-19,2026-04-22,93.15,534551.16,3069164.66,49.54,235133.3,146921.79,400127.8,37,Approved,2016-10-12,Y,FY2021-Q2,Shane Schmidt,2025-11-14 15:16:57.948035
CMP_000032,EVT_001317,Adaptive reciprocal definition,Social,181020.32,2016-06-07,2025-11-29,21.64,1787583.35,3108533.99,124.18,1018373.93,361628.35,80228.59,24,Rejected,2018-05-22,N,FY2024-Q2,Chelsea Tanner,2025-11-14 15:16:57.948035
CMP_000033,EVT_001946,Expanded tertiary Graphical User Interface,TV,455784.42,2024-10-10,2026-11-11,74.81,3808743.56,1665792.16,30.14,1240598.71,21938.42,312776.96,25,Rejected,2022-12-27,Y,FY2021-Q2,Breanna Obrien,2025-11-14 15:16:57.948035
CMP_000034,EVT_000548,Inverse zero tolerance parallelism,SMS,350950.25,2016-01-26,2025-12-09,71.07,4241501.86,1818488.06,119.41,1008376.44,305028.47,-40790.2,11,Pending,2024-02-19,N,FY2025-Q2,Daniel Kelley,2025-11-14 15:16:57.948035
CMP_000035,EVT_000985,Distributed contextually-based approach,Social,470942.82,2024-08-07,2026-02-11,29.62,2140708.37,2979813.59,166.3,764977.38,487572.77,81201.99,23,Pending,2018-12-10,Y,FY2022-Q4,Robert Garner,2025-11-14 15:16:57.948035
CMP_000036,EVT_001114,Automated multi-tasking algorithm,SMS,135291.2,2019-06-29,2026-10-08,60.53,1288989.03,2795575.73,148.8,658486.26,239544.33,339091.21,12,Rejected,2016-08-12,Y,FY2021-Q3,Edward Miller,2025-11-14 15:16:57.948035
CMP_000037,EVT_000240,Synergistic maximized structure,SMS,481043.9,2018-05-17,2026-03-30,87.44,3884017.49,2942293.18,160.57,1292374.7,469285.28,169251.11,34,Rejected,2017-05-14,Y,FY2021-Q4,Chelsea Hamilton,2025-11-14 15:16:57.948035
CMP_000038,EVT_000455,Synchronized systemic software,Radio,46743.15,2018-04-14,2026-09-08,94.19,2576838.54,2115771.92,112.18,803589.71,397420.19,373474.26,12,Approved,2023-04-21,Y,FY2024-Q2,Timothy Mercado,2025-11-14 15:16:57.948035
CMP_000039,EVT_001698,Cloned motivating policy,Email,84572.64,2024-08-01,2026-05-08,82.38,3621148.67,2866963.0,191.89,109871.85,295371.09,456353.11,42,Pending,2017-07-31,Y,FY2021-Q2,James Smith DVM,2025-11-14 15:16:57.948035
CMP_000040,EVT_000348,Self-enabling well-modulated secured line,Social,37988.97,2024-04-16,2025-11-22,21.75,1706790.14,2575379.35,198.48,167904.37,86819.89,288366.41,37,Approved,2024-11-10,Y,FY2023-Q1,David Cummings,2025-11-14 15:16:57.948035
CMP_000041,EVT_001222,Synergized mobile core,Radio,119346.55,2019-06-26,2026-07-15,74.82,401624.3,1672273.14,37.96,571209.86,331253.65,368627.93,36,Rejected,2022-12-18,Y,FY2023-Q2,Julia Gonzalez,2025-11-14 15:16:57.948035
CMP_000042,EVT_000847,Synchronized analyzing orchestration,Email,188633.33,2022-09-16,2026-02-25,35.73,618483.97,3904020.98,143.05,1099058.57,282348.27,156864.4,49,Approved,2017-08-28,Y,FY2021-Q2,Karen Miller,2025-11-14 15:16:57.948035
CMP_000043,EVT_000085,Decentralized motivating software,SMS,251770.92,2021-07-27,2026-06-23,30.44,3769401.25,2613374.98,198.49,1544833.13,316342.64,304809.71,9,Rejected,2018-03-31,N,FY2024-Q3,Ryan Hansen,2025-11-14 15:16:57.948035
CMP_000044,EVT_001784,Mandatory responsive circuit,Social,191212.66,2023-01-03,2026-02-10,38.79,2804362.45,3070128.11,187.18,10557.9,110564.69,274310.66,23,Pending,2020-02-22,N,FY2024-Q3,Ms. Breanna Newman MD,2025-11-14 15:16:57.948035
CMP_000045,EVT_001116,De-engineered full-range application,SMS,194178.36,2017-08-02,2026-07-15,37.26,3739361.38,2227581.95,35.12,1672124.81,202917.98,61315.49,15,Approved,2017-07-25,Y,FY2022-Q4,Christopher Hall,2025-11-14 15:16:57.948035
CMP_000046,EVT_001119,Stand-alone cohesive contingency,TV,190235.53,2023-05-30,2026-08-11,66.4,3491116.72,2416091.84,184.57,778108.6,239333.76,343724.17,43,Pending,2022-02-21,Y,FY2023-Q2,David Thompson,2025-11-14 15:16:57.948035
CMP_000047,EVT_000910,Inverse tangible support,Email,22307.04,2024-10-06,2025-12-24,88.83,1675736.91,2866634.96,75.69,1558929.27,354288.24,455276.31,3,Approved,2017-02-01,N,FY2020-Q1,Stacey Stevens,2025-11-14 15:16:57.948035
CMP_000048,EVT_000594,Synergized asynchronous collaboration,SMS,162858.82,2025-02-02,2026-10-13,69.64,17230.06,3083322.79,158.43,451270.82,329658.79,39562.04,34,Pending,2018-07-11,Y,FY2022-Q2,Jamie Lopez,2025-11-14 15:16:57.948035
CMP_000049,EVT_001183,Ergonomic background info-mediaries,Social,439237.81,2023-12-17,2026-07-12,30.42,2622239.45,3331205.2,15.83,1687940.41,475053.75,287302.78,17,Pending,2023-08-23,N,FY2020-Q3,Lisa Stewart,2025-11-14 15:16:57.948035
CMP_000050,EVT_001950,Advanced discrete analyzer,TV,122823.0,2018-05-08,2026-04-22,14.88,3729450.41,1344288.39,25.71,1157184.91,254798.0,346641.23,3,Rejected,2016-02-08,N,FY2021-Q1,Laurie Daniels,2025-11-14 15:16:57.948035
CMP_000051,EVT_000133,Phased high-level Local Area Network,SMS,269196.66,2025-09-06,2026-09-07,52.84,1621461.64,3371836.29,41.78,1856177.78,327671.26,-84787.91,12,Rejected,2023-12-26,N,FY2021-Q3,Christopher Cook,2025-11-14 15:16:57.948035
CMP_000052,EVT_000009,Organized bi-directional protocol,SMS,201889.75,2022-07-14,2026-03-28,61.18,1567191.97,454628.25,125.15,1159458.75,357492.31,57506.9,17,Pending,2018-01-10,N,FY2023-Q2,Olivia Nguyen,2025-11-14 15:16:57.948035
CMP_000053,EVT_001568,Fundamental discrete benchmark,TV,472925.3,2019-05-13,2026-03-27,25.78,3326671.75,3572616.83,18.56,319138.16,280571.18,318887.3,19,Approved,2019-05-02,Y,FY2025-Q1,Sandra Gonzalez,2025-11-14 15:16:57.948035
CMP_000054,EVT_000634,Front-line interactive moderator,TV,294286.27,2021-10-29,2025-11-26,20.82,1340181.12,2490981.31,108.61,1585167.61,405765.21,241594.32,20,Approved,2016-10-09,Y,FY2021-Q4,Barbara Jones,2025-11-14 15:16:57.948035
CMP_000055,EVT_000618,Monitored cohesive moratorium,Radio,43233.85,2016-09-13,2026-05-08,62.78,3845564.88,33523.04,7.8,657032.55,216952.44,472275.4,31,Rejected,2022-08-27,Y,FY2025-Q1,Deborah Richardson,2025-11-14 15:16:57.948035
CMP_000056,EVT_001668,Organized content-based collaboration,Radio,467325.45,2021-11-09,2026-04-29,72.11,4169158.61,660367.28,165.39,1048596.91,280290.54,175437.95,7,Approved,2016-05-27,N,FY2025-Q1,Jeffrey Adams,2025-11-14 15:16:57.948035
CMP_000057,EVT_001001,Open-architected composite Internet solution,Social,282118.6,2024-12-12,2026-04-19,57.58,2481575.65,429657.42,106.75,570707.7,211836.26,295155.41,23,Approved,2020-01-12,N,FY2022-Q2,Carrie Mitchell,2025-11-14 15:16:57.948035
CMP_000058,EVT_000903,Stand-alone multimedia extranet,Social,395849.42,2024-12-07,2026-02-10,22.79,3067717.31,1762917.82,17.45,324532.51,195106.8,321673.17,28,Rejected,2024-11-26,N,FY2022-Q1,Deanna Peck,2025-11-14 15:16:57.948035
CMP_000059,EVT_000071,Persistent asymmetric Local Area Network,SMS,276764.79,2020-08-09,2026-10-18,77.25,1656859.56,2811162.15,131.84,1369315.05,316309.31,-71868.37,21,Rejected,2018-03-14,Y,FY2025-Q4,Stacey Hayes,2025-11-14 15:16:57.948035
CMP_000060,EVT_000323,Configurable web-enabled analyzer,TV,299508.1,2018-07-23,2026-11-12,22.86,4201404.84,828625.37,114.01,50278.0,216612.5,67912.63,34,Approved,2021-11-08,Y,FY2024-Q3,Jonathan Hart,2025-11-14 15:16:57.948035
CMP_000061,EVT_000119,Centralized fresh-thinking superstructure,TV,435280.58,2018-09-28,2025-11-28,36.15,3950890.9,1747658.27,156.42,361244.68,321679.43,376332.35,37,Pending,2025-09-04,N,FY2021-Q1,Lori Peterson,2025-11-14 15:16:57.948035
CMP_000062,EVT_001046,User-friendly stable project,Radio,261439.93,2018-06-05,2026-01-12,35.09,2941387.72,1840578.59,129.84,823349.61,373076.3,208221.37,19,Approved,2025-07-28,Y,FY2025-Q4,Bryan Ellis,2025-11-14 15:16:57.948035
CMP_000063,EVT_000188,Persistent intangible support,Social,162893.03,2024-01-27,2026-09-15,4.86,4197197.84,1873748.0,110.03,1082839.22,116456.4,260963.78,4,Pending,2019-06-27,N,FY2020-Q2,Jason Maxwell,2025-11-14 15:16:57.948035
CMP_000064,EVT_000026,Digitized foreground synergy,Social,91773.69,2022-09-30,2026-01-18,28.24,579142.16,3565568.18,11.63,1823913.79,366329.3,215359.76,37,Approved,2019-10-01,Y,FY2020-Q1,Nicholas Adams,2025-11-14 15:16:57.948035
CMP_000065,EVT_001496,Virtual multi-tasking hub,Social,160842.15,2019-05-07,2026-10-05,76.67,1655848.98,2265303.87,1.45,266147.66,182748.62,415937.3,4,Rejected,2024-11-02,N,FY2024-Q1,Justin Bond,2025-11-14 15:16:57.948035
CMP_000066,EVT_000038,Customizable 24/7 pricing structure,Social,366993.07,2025-04-22,2026-01-16,96.72,2207294.66,704508.75,168.76,57732.62,67277.59,240206.72,17,Approved,2018-10-13,Y,FY2022-Q3,Aaron Schultz,2025-11-14 15:16:57.948035
CMP_000067,EVT_001890,Polarized modular help-desk,TV,295971.54,2022-12-18,2026-11-07,27.89,387287.32,2696966.3,98.09,1297579.31,272427.95,263688.69,15,Rejected,2021-05-07,Y,FY2020-Q1,Jeffrey Gaines,2025-11-14 15:16:57.948035
CMP_000068,EVT_001015,Re-contextualized even-keeled neural-net,Social,142315.09,2021-04-06,2026-03-26,49.89,2481389.5,1520810.9,94.48,331513.13,201634.02,369303.11,16,Pending,2018-04-10,N,FY2020-Q4,Robert Atkins,2025-11-14 15:16:57.948035
CMP_000069,EVT_000520,Triple-buffered incremental instruction set,TV,205035.94,2023-02-04,2026-09-19,18.48,3434205.87,59053.22,187.48,1489623.64,303256.56,300409.45,15,Rejected,2018-11-07,N,FY2025-Q4,Sean Anderson,2025-11-14 15:16:57.948035
CMP_000070,EVT_000733,Balanced demand-driven support,TV,100917.23,2025-06-18,2026-10-21,72.28,2504005.65,2324495.37,23.05,1731198.1,214231.03,481414.15,46,Approved,2021-11-24,N,FY2021-Q4,John Carter,2025-11-14 15:16:57.948035
CMP_000071,EVT_000976,Switchable coherent paradigm,TV,377111.42,2017-09-26,2026-01-01,58.83,1263022.63,977976.36,63.45,595534.21,77137.64,-88302.35,2,Pending,2022-12-29,N,FY2020-Q1,Carrie Knight,2025-11-14 15:16:57.948035
CMP_000072,EVT_000314,Networked national application,Radio,325303.92,2022-04-27,2026-05-27,90.11,1292698.18,3433958.93,37.5,763396.22,77604.85,177892.35,24,Pending,2020-05-03,N,FY2021-Q1,Jill Boyd,2025-11-14 15:16:57.948035
CMP_000073,EVT_000150,Profound static definition,Social,103272.35,2019-10-25,2026-02-26,63.47,650904.15,2239902.21,116.24,1355124.89,340602.87,-23012.66,28,Rejected,2017-03-12,N,FY2024-Q3,Kelly Bush,2025-11-14 15:16:57.948035
CMP_000074,EVT_001286,Realigned context-sensitive knowledge user,Email,154826.67,2022-07-05,2026-08-23,61.2,3126768.21,3015648.66,16.33,1587890.73,317405.16,304198.28,38,Pending,2016-09-03,N,FY2024-Q3,Luke Wright,2025-11-14 15:16:57.948035
CMP_000075,EVT_000341,Business-focused holistic utilization,Radio,354350.74,2020-06-17,2026-09-16,80.97,1094676.16,3270018.09,118.25,987094.94,401762.21,-62895.98,27,Pending,2024-03-27,N,FY2021-Q2,Paul Lewis,2025-11-14 15:16:57.948035
CMP_000076,EVT_000451,Realigned multi-state neural-net,Social,71999.81,2019-01-18,2026-08-13,4.38,3222032.99,2956440.41,7.71,1643983.7,164004.79,490888.04,37,Approved,2021-05-16,N,FY2024-Q4,Vanessa Fowler,2025-11-14 15:16:57.948035
CMP_000077,EVT_001114,Multi-channeled well-modulated concept,TV,237437.33,2020-03-21,2026-05-27,83.93,3627340.06,104462.28,33.21,916077.28,334299.34,484373.77,45,Approved,2016-10-31,N,FY2023-Q4,Jessica Schmitt,2025-11-14 15:16:57.948035
CMP_000078,EVT_001712,Cross-group secondary open system,Social,160082.54,2023-12-11,2026-08-12,21.29,1475455.29,434683.75,68.73,1486877.57,440389.7,352168.76,12,Approved,2018-02-01,N,FY2024-Q3,Brittney Brooks,2025-11-14 15:16:57.948035
CMP_000079,EVT_000931,Team-oriented next generation definition,Email,416448.63,2019-12-05,2026-05-08,8.44,198665.47,1835854.89,114.18,1885667.48,141366.83,482388.51,19,Approved,2018-02-15,N,FY2022-Q3,Samuel Collins,2025-11-14 15:16:57.948035
CMP_000080,EVT_000478,Face-to-face multi-state strategy,Social,298671.37,2017-11-16,2025-12-25,84.72,3384201.41,3093398.73,8.99,1642680.6,170861.78,-81361.91,20,Pending,2020-03-29,N,FY2022-Q3,Jocelyn Davenport,2025-11-14 15:16:57.948035
CMP_000081,EVT_001257,Cross-group bifurcated encryption,Social,188123.86,2021-02-10,2026-09-13,50.64,698494.3,1841429.48,165.33,1082144.62,451062.86,-14680.89,2,Rejected,2021-11-16,Y,FY2022-Q1,James Hartman,2025-11-14 15:16:57.948035
CMP_000082,EVT_001725,Open-architected motivating capability,Social,313243.01,2017-10-14,2026-06-23,91.24,3721819.55,800584.56,133.32,1488550.79,236086.63,471243.44,37,Approved,2024-03-02,Y,FY2022-Q2,John Joseph,2025-11-14 15:16:57.948035
CMP_000083,EVT_000513,Progressive reciprocal approach,TV,232761.83,2022-08-04,2025-12-25,39.83,2381887.85,3119527.92,64.57,935943.9,70831.83,-95647.01,23,Approved,2020-06-01,Y,FY2021-Q1,Preston Perez,2025-11-14 15:16:57.948035
CMP_000084,EVT_000582,Mandatory bandwidth-monitored access,Social,364373.88,2025-07-25,2026-05-05,97.28,2504209.67,3573716.36,77.08,65342.45,156861.46,133157.49,31,Approved,2021-10-22,N,FY2025-Q3,Wanda Johnson,2025-11-14 15:16:57.948035
CMP_000085,EVT_001343,Organized empowering Graphical User Interface,TV,492618.81,2017-11-22,2026-05-22,7.85,3350182.89,1577684.46,46.66,1723519.77,87088.37,-89080.11,19,Pending,2019-06-07,Y,FY2020-Q4,Carlos Caldwell,2025-11-14 15:16:57.948035
CMP_000086,EVT_000098,Fundamental global challenge,Email,241339.42,2025-04-15,2026-05-19,23.72,3899531.87,2544960.36,85.55,1845746.61,480441.97,453292.95,50,Approved,2017-06-09,Y,FY2021-Q3,Keith Beck,2025-11-14 15:16:57.948035
CMP_000087,EVT_000332,Polarized radical help-desk,Radio,164567.58,2017-08-26,2026-11-10,66.35,4498174.26,2341433.01,106.75,1395488.07,60406.96,198947.32,25,Rejected,2025-08-06,Y,FY2024-Q2,Jesus Mcguire,2025-11-14 15:16:57.948035
CMP_000088,EVT_000362,Cross-group stable knowledge user,Radio,223198.93,2022-03-15,2026-02-18,60.6,4455840.51,507454.39,43.88,1589735.35,156865.53,328665.69,11,Approved,2017-07-10,N,FY2021-Q4,Michael Bell,2025-11-14 15:16:57.948035
CMP_000089,EVT_001860,Proactive context-sensitive matrix,Email,125886.5,2022-03-24,2026-05-07,64.57,2216805.12,339779.25,118.08,653912.32,326322.11,285496.32,10,Rejected,2018-05-18,N,FY2022-Q2,Ashley Carlson,2025-11-14 15:16:57.948035
CMP_000090,EVT_001053,Pre-emptive explicit productivity,SMS,174461.99,2017-10-28,2026-04-30,70.3,1046290.93,1664093.65,127.02,787203.9,40673.67,292488.09,37,Pending,2017-05-18,N,FY2022-Q1,Sherry Campbell,2025-11-14 15:16:57.948035
CMP_000091,EVT_001927,Enterprise-wide systemic orchestration,TV,217990.07,2023-10-28,2026-08-29,20.35,1399923.09,1190153.4,38.1,653651.22,67425.05,470711.87,38,Approved,2021-04-29,Y,FY2021-Q4,Daniel Wilson,2025-11-14 15:16:57.948035
CMP_000092,EVT_000156,Expanded mobile groupware,TV,326121.89,2017-02-23,2026-07-01,17.63,4347054.06,1149071.53,98.79,1715655.89,178274.34,25332.9,25,Rejected,2016-07-21,Y,FY2020-Q2,Jessica Davis,2025-11-14 15:16:57.948035
CMP_000093,EVT_000066,Managed actuating approach,TV,238221.1,2016-02-04,2026-04-04,43.39,2433172.25,781506.44,186.35,1989007.17,66499.82,429910.74,24,Pending,2022-03-05,Y,FY2022-Q2,Brandon Vasquez,2025-11-14 15:16:57.948035
CMP_000094,EVT_000778,Optional background protocol,Email,346682.09,2018-04-20,2026-07-02,84.76,1131770.62,776092.08,2.14,1579001.27,409167.56,50455.06,20,Rejected,2020-09-21,N,FY2025-Q3,Daniel Lin,2025-11-14 15:16:57.948035
CMP_000095,EVT_001682,Quality-focused leadingedge projection,TV,61204.5,2020-01-07,2026-08-13,20.12,4717355.63,511781.87,57.38,1178624.02,321337.17,239589.21,1,Pending,2021-04-04,N,FY2025-Q4,Michelle Nelson,2025-11-14 15:16:57.948035
CMP_000096,EVT_001416,Centralized multi-tasking synergy,Email,122210.29,2025-07-02,2026-02-25,40.96,520282.98,3542150.01,67.56,1172192.37,393040.44,-84481.96,14,Rejected,2020-02-01,Y,FY2024-Q4,Katie Andrews,2025-11-14 15:16:57.948035
CMP_000097,EVT_001962,Upgradable client-server monitoring,Radio,424033.53,2016-04-06,2025-12-28,59.47,2313704.84,3226467.28,166.3,794151.48,438467.94,362914.92,5,Approved,2016-09-03,N,FY2021-Q3,Debra Powers,2025-11-14 15:16:57.948035
CMP_000098,EVT_000671,Switchable 5thgeneration approach,SMS,224505.76,2024-03-07,2025-11-28,82.75,4831288.91,2742278.73,64.31,1522920.9,262296.37,295514.3,33,Pending,2017-08-27,N,FY2025-Q4,Robert Johnson,2025-11-14 15:16:57.948035
CMP_000099,EVT_000274,Face-to-face mission-critical attitude,Radio,498562.36,2021-10-15,2025-12-14,30.59,3096971.86,115039.09,80.54,616599.48,38864.86,328899.77,48,Approved,2022-09-25,N,FY2025-Q3,Jean Greer,2025-11-14 15:16:57.948035
CMP_000100,EVT_001962,Automated leadingedge model,Email,27951.42,2022-08-20,2025-12-24,20.05,2371474.1,1432524.64,169.1,1506736.99,322374.2,38614.74,42,Rejected,2017-11-04,Y,FY2025-Q3,Adrian Fuller,2025-11-14 15:16:57.948035
CMP_000101,EVT_001391,Centralized next generation orchestration,Radio,8356.19,2025-03-05,2025-11-15,68.18,3502394.65,150430.54,136.7,1197364.77,400233.34,496676.83,0,Pending,2016-06-07,N,FY2020-Q4,Michael Garcia,2025-11-14 15:16:57.948035
CMP_000102,EVT_000413,Sharable global extranet,Social,286588.45,2024-08-06,2025-11-22,49.14,3170802.48,118788.1,120.01,657505.91,276700.54,3254.74,9,Pending,2021-08-17,N,FY2021-Q1,William Hicks,2025-11-14 15:16:57.948035
CMP_000103,EVT_001530,Front-line mission-critical matrices,Social,209186.13,2017-06-23,2026-02-28,43.87,951915.79,3246063.16,24.23,1975972.63,284029.35,42721.74,45,Pending,2018-01-25,Y,FY2023-Q1,Michael Gonzalez,2025-11-14 15:16:57.948035
