assignment_id,employee_id,family_id,assigned_date,status,remarks,TRS_Rating_Score,TRS_Level,Assessment_Score,Mentor_Visits,Staff_Training_Count,Provider_Capacity,Capacity_Utilization_Percent,Provider_Type,Active_Children_Count,Complaints_Received,Corrective_Actions_Taken,Assessment_Status,Next_Assessment_Date,Data_Refresh_Timestamp
ASG_000011,EMP_001403,FAM_002462,2024-04-16,Closed,Likely he find cultural ground of series turn executive dog.,4.78,Level 1,63.52,10,8,39,96.12,Center,74,1,0,Scheduled,2027-04-07,2025-11-14 15:16:57.525726
ASG_000012,EMP_000875,FAM_002930,2022-10-03,Closed,According season while beautiful stay tax phone operation opportunity book.,3.76,Level 2,71.53,1,1,236,63.86,Home,4,0,4,Completed,2027-08-31,2025-11-14 15:16:57.525726
ASG_000013,EMP_001365,FAM_000075,2019-11-03,Closed,Explain authority ago sister create lay be newspaper material wait.,3.02,Level 2,12.5,7,4,61,117.86,Center,177,8,3,Pending Review,2027-09-11,2025-11-14 15:16:57.525726
ASG_000014,EMP_000791,FAM_002911,2022-10-12,Assigned,Although property responsibility owner party strategy.,3.99,Level 3,27.11,5,9,211,60.81,School,71,3,0,Scheduled,2027-10-04,2025-11-14 15:16:57.525726
ASG_000015,EMP_001219,FAM_002546,2024-06-20,Closed,Conference arm begin these together size effort deep.,3.79,Level 3,9.2,2,1,246,38.59,Center,29,20,0,Scheduled,2026-09-21,2025-11-14 15:16:57.525726
ASG_000016,EMP_000870,FAM_000355,2024-11-28,Closed,Science baby spring remember conference wide available control.,1.33,Level 3,98.32,3,12,16,15.73,School,7,10,0,Pending Review,2026-09-08,2025-11-14 15:16:57.525726
ASG_000017,EMP_000636,FAM_000624,2024-12-03,Completed,Unit action girl view return.,3.6,Level 3,8.11,7,3,170,42.46,Center,186,10,5,Scheduled,2025-11-27,2025-11-14 15:16:57.525726
ASG_000018,EMP_000300,FAM_001309,2020-07-09,Closed,Station family ago authority public project begin accept market.,4.97,Level 2,83.84,5,11,257,66.36,Center,142,15,3,Pending Review,2027-01-12,2025-11-14 15:16:57.525726
ASG_000019,EMP_001220,FAM_000094,2018-03-03,Completed,According vote from force official.,4.87,Level 2,19.49,10,11,266,43.73,School,63,12,3,Pending Review,2027-10-09,2025-11-14 15:16:57.525726
ASG_000020,EMP_000248,FAM_000160,2021-09-11,Assigned,None thus skill computer your water.,2.77,Level 4,9.78,9,6,156,44.82,Center,116,1,5,Pending Review,2026-10-16,2025-11-14 15:16:57.525726
ASG_000021,EMP_000316,FAM_001804,2023-07-31,Closed,Smile understand before face Republican community network these.,2.93,Level 1,71.97,2,12,42,18.05,School,299,18,2,Completed,2025-12-17,2025-11-14 15:16:57.525726
ASG_000022,EMP_000253,FAM_001609,2018-06-01,Assigned,Force forget including own fish whether.,3.17,Level 4,65.76,4,4,26,17.2,Home,275,20,2,Scheduled,2027-03-17,2025-11-14 15:16:57.525726
ASG_000023,EMP_001192,FAM_002352,2018-06-12,Escalated,Yourself beautiful floor executive first expect animal clear song final.,4.46,Level 4,70.51,2,6,196,117.92,Center,84,13,5,Scheduled,2026-03-27,2025-11-14 15:16:57.525726
ASG_000024,EMP_000396,FAM_001743,2020-09-20,Assigned,Store station build executive actually traditional.,1.86,Level 2,93.3,1,18,211,95.07,School,287,2,2,Pending Review,2026-02-10,2025-11-14 15:16:57.525726
ASG_000025,EMP_000023,FAM_001662,2022-05-03,Closed,Series himself relationship return may wife because list drug news.,1.39,Level 1,1.29,8,12,150,94.91,School,54,0,3,Scheduled,2027-04-27,2025-11-14 15:16:57.525726
ASG_000026,EMP_000110,FAM_002910,2020-04-22,Assigned,Other alone hit blue now.,4.32,Level 4,84.37,4,19,141,13.33,Center,250,9,4,Completed,2026-01-17,2025-11-14 15:16:57.525726
ASG_000027,EMP_001252,FAM_002779,2021-10-23,Completed,Dream feeling beat long lot yard base.,3.52,Level 2,13.73,9,7,175,30.17,Center,74,10,2,Scheduled,2027-06-11,2025-11-14 15:16:57.525726
ASG_000028,EMP_000138,FAM_001180,2023-02-22,Closed,Nothing nor bill above night likely.,4.76,Level 1,34.85,6,1,84,80.29,Home,116,11,1,Scheduled,2027-08-21,2025-11-14 15:16:57.525726
ASG_000029,EMP_000391,FAM_002680,2019-05-14,Closed,Feel hope bank political cover smile ten media series budget.,2.19,Level 4,85.35,8,20,265,116.88,Center,45,19,0,Pending Review,2026-05-16,2025-11-14 15:16:57.525726
ASG_000030,EMP_001160,FAM_002220,2024-04-21,Closed,Meet feeling peace decide onto college together card.,4.81,Level 1,32.56,6,6,254,20.15,Center,195,18,1,Pending Review,2026-09-16,2025-11-14 15:16:57.525726
ASG_000031,EMP_000321,FAM_002902,2019-07-29,Assigned,Official information get expect open deep field resource parent.,1.2,Level 3,38.86,10,1,65,99.49,School,226,20,4,Pending Review,2026-12-02,2025-11-14 15:16:57.525726
ASG_000032,EMP_001345,FAM_002903,2022-04-15,Closed,Agency event box field off away program section military.,3.56,Level 1,55.81,6,14,268,114.37,Center,140,2,5,Pending Review,2026-05-10,2025-11-14 15:16:57.525726
ASG_000033,EMP_000648,FAM_000776,2024-03-01,Escalated,Shoulder school tough condition they.,2.96,Level 3,45.33,5,20,204,107.68,School,103,14,0,Completed,2027-08-03,2025-11-14 15:16:57.525726
ASG_000034,EMP_000210,FAM_000357,2020-05-02,Assigned,Money of hope sit four campaign current theory.,1.76,Level 3,3.69,2,9,250,13.79,Home,81,11,3,Completed,2026-10-28,2025-11-14 15:16:57.525726
ASG_000035,EMP_000361,FAM_000190,2019-02-07,Escalated,Put chance choice daughter build party.,3.13,Level 3,61.92,2,3,258,47.19,Center,217,18,5,Completed,2026-10-19,2025-11-14 15:16:57.525726
ASG_000036,EMP_000443,FAM_001128,2024-12-25,Assigned,Sister large although miss significant.,3.33,Level 3,35.15,8,1,267,42.16,School,8,12,0,Completed,2026-09-15,2025-11-14 15:16:57.525726
ASG_000037,EMP_000556,FAM_000778,2017-07-05,Completed,Significant sign cost statement body meet hair.,3.08,Level 3,54.19,2,0,74,25.35,Home,230,7,0,Pending Review,2025-11-28,2025-11-14 15:16:57.525726
ASG_000038,EMP_000384,FAM_002077,2018-03-21,Closed,Whom necessary understand kitchen town senior building industry visit under.,4.76,Level 2,61.72,8,1,93,55.93,School,23,7,2,Completed,2027-02-02,2025-11-14 15:16:57.525726
ASG_000039,EMP_001056,FAM_000195,2017-05-25,Escalated,None arrive material accept later happy.,2.08,Level 1,5.68,10,6,18,94.01,School,293,20,2,Pending Review,2026-05-08,2025-11-14 15:16:57.525726
ASG_000040,EMP_000974,FAM_002171,2025-09-07,Completed,Cut big paper difference artist person find identify face history.,4.09,Level 2,51.09,9,16,70,69.13,Center,184,8,3,Scheduled,2026-01-16,2025-11-14 15:16:57.525726
ASG_000041,EMP_001493,FAM_002574,2020-11-29,Escalated,Arm note concern hotel street interesting.,1.91,Level 1,1.02,2,12,165,48.54,Center,293,14,0,Scheduled,2026-02-12,2025-11-14 15:16:57.525726
ASG_000042,EMP_000894,FAM_000756,2020-05-26,Escalated,Major money add finally arm until official whom.,1.24,Level 2,52.55,10,6,16,58.98,Center,144,4,1,Scheduled,2027-05-13,2025-11-14 15:16:57.525726
ASG_000043,EMP_000355,FAM_000609,2017-06-04,Escalated,Action yes benefit very program.,1.26,Level 2,74.61,6,13,280,41.46,Center,94,4,3,Scheduled,2027-04-03,2025-11-14 15:16:57.525726
ASG_000044,EMP_000571,FAM_002011,2021-04-04,Closed,Score say task run evidence.,4.74,Level 2,47.51,8,11,112,34.13,Center,66,9,1,Scheduled,2026-09-08,2025-11-14 15:16:57.525726
ASG_000045,EMP_001220,FAM_001675,2024-05-04,Completed,News mission around go officer police.,2.05,Level 1,58.36,5,4,28,111.11,Home,153,9,5,Completed,2025-12-13,2025-11-14 15:16:57.525726
ASG_000046,EMP_000220,FAM_002024,2023-05-27,Assigned,Dark least mission use know.,4.67,Level 1,91.27,10,11,248,83.21,Center,292,17,1,Pending Review,2026-12-23,2025-11-14 15:16:57.525726
ASG_000047,EMP_001321,FAM_001710,2025-03-30,Escalated,Religious friend condition task suddenly tough whom.,2.71,Level 4,55.25,4,15,128,65.77,School,193,8,0,Pending Review,2026-04-15,2025-11-14 15:16:57.525726
ASG_000048,EMP_000772,FAM_000710,2024-08-17,Assigned,Open laugh these while interview picture part various.,1.24,Level 2,71.66,7,20,150,90.97,Center,244,12,4,Pending Review,2027-09-05,2025-11-14 15:16:57.525726
ASG_000049,EMP_000928,FAM_002384,2018-03-30,Escalated,Wrong a experience city decade book how.,4.01,Level 1,6.92,4,19,89,114.14,School,140,5,2,Pending Review,2026-06-07,2025-11-14 15:16:57.525726
ASG_000050,EMP_000011,FAM_000347,2024-09-24,Escalated,Card international nation family analysis.,3.85,Level 4,44.56,8,0,12,68.12,Home,168,4,2,Completed,2027-07-05,2025-11-14 15:16:57.525726
ASG_000051,EMP_000098,FAM_000522,2016-01-16,Closed,Report animal share body growth thought.,3.81,Level 4,83.26,4,8,241,38.13,Center,57,10,0,Pending Review,2027-10-27,2025-11-14 15:16:57.525726
ASG_000052,EMP_000649,FAM_000644,2017-02-02,Closed,Against size out because single our movement little indicate worry.,2.2,Level 1,2.32,6,19,218,63.6,Home,132,6,4,Scheduled,2026-02-13,2025-11-14 15:16:57.525726
ASG_000053,EMP_000016,FAM_002861,2015-12-23,Closed,Office list vote single together such similar.,3.07,Level 3,67.82,6,0,157,64.8,Center,49,18,3,Completed,2026-08-24,2025-11-14 15:16:57.525726
ASG_000054,EMP_000990,FAM_002535,2016-07-25,Escalated,Action certainly evidence best summer ever less anyone or owner challenge.,4.33,Level 2,66.62,1,16,201,76.25,Center,188,15,3,Pending Review,2027-11-05,2025-11-14 15:16:57.525726
ASG_000055,EMP_000295,FAM_001540,2016-10-21,Assigned,Democrat character fly leg firm.,4.08,Level 4,60.86,9,20,223,115.5,School,117,12,4,Pending Review,2026-07-28,2025-11-14 15:16:57.525726
ASG_000056,EMP_000254,FAM_000151,2017-12-24,Assigned,Want avoid reflect box pattern why degree writer project interesting.,3.47,Level 4,73.13,4,17,42,68.32,School,56,11,1,Scheduled,2027-05-12,2025-11-14 15:16:57.525726
ASG_000057,EMP_001485,FAM_002380,2023-03-08,Closed,End yourself collection whose natural live dog responsibility image thank.,2.87,Level 4,1.26,3,8,44,83.79,Home,277,5,2,Completed,2026-02-11,2025-11-14 15:16:57.525726
ASG_000058,EMP_000063,FAM_000018,2020-11-20,Escalated,Successful industry without think scientist paper thought.,2.3,Level 3,80.5,8,6,175,78.28,School,90,7,4,Pending Review,2026-02-22,2025-11-14 15:16:57.525726
ASG_000059,EMP_000849,FAM_001648,2021-05-13,Closed,Until good usually father structure admit tree financial yet.,2.65,Level 3,67.83,9,0,171,40.71,Center,134,20,0,Pending Review,2025-12-31,2025-11-14 15:16:57.525726
ASG_000060,EMP_000196,FAM_001995,2019-03-19,Assigned,Player impact western full pattern affect window garden own family.,4.25,Level 4,75.68,2,12,171,117.99,School,211,9,4,Scheduled,2027-06-20,2025-11-14 15:16:57.525726
ASG_000061,EMP_001398,FAM_000716,2022-06-23,Closed,Message skin against someone.,2.15,Level 4,4.81,2,15,183,32.14,Home,40,8,1,Scheduled,2026-03-06,2025-11-14 15:16:57.525726
ASG_000062,EMP_000012,FAM_001560,2025-01-05,Escalated,Pm hard between some possible.,4.83,Level 4,50.17,10,16,180,48.68,Center,67,9,3,Completed,2027-09-23,2025-11-14 15:16:57.525726
ASG_000063,EMP_000276,FAM_001051,2025-01-16,Escalated,Nation action stay exist.,2.05,Level 3,54.44,9,16,29,13.58,Home,247,0,2,Completed,2027-05-10,2025-11-14 15:16:57.525726
ASG_000064,EMP_000186,FAM_001421,2019-06-12,Assigned,Computer save couple exist trade information friend.,2.39,Level 2,93.81,3,18,227,35.54,Center,207,3,4,Pending Review,2026-05-14,2025-11-14 15:16:57.525726
ASG_000065,EMP_000498,FAM_001319,2016-09-15,Completed,Firm into so charge year student.,2.41,Level 1,90.96,7,18,116,35.99,School,118,13,1,Scheduled,2026-02-09,2025-11-14 15:16:57.525726
ASG_000066,EMP_000573,FAM_001698,2016-07-04,Assigned,Sport man high feel theory show community of.,2.93,Level 4,23.51,1,15,160,86.9,School,286,17,5,Pending Review,2026-12-04,2025-11-14 15:16:57.525726
ASG_000067,EMP_001405,FAM_001846,2019-06-15,Escalated,She be fly shoulder culture ahead start who.,4.84,Level 4,82.71,5,10,184,36.55,Home,55,16,0,Scheduled,2027-05-04,2025-11-14 15:16:57.525726
ASG_000068,EMP_000710,FAM_000522,2019-07-07,Assigned,Difficult training none region put focus.,4.86,Level 4,41.45,6,18,286,25.73,Center,55,14,2,Pending Review,2026-10-04,2025-11-14 15:16:57.525726
ASG_000069,EMP_000286,FAM_002783,2024-12-25,Assigned,Something government maintain religious manage responsibility notice moment.,2.96,Level 4,10.57,10,1,264,22.01,Home,169,17,0,Scheduled,2027-05-04,2025-11-14 15:16:57.525726
ASG_000070,EMP_000766,FAM_001311,2024-12-16,Assigned,Night their religious discuss fast.,1.53,Level 2,76.3,3,6,143,102.09,Center,256,14,5,Scheduled,2026-07-31,2025-11-14 15:16:57.525726
ASG_000071,EMP_001169,FAM_001634,2025-09-19,Escalated,Head meeting kitchen health feeling.,1.26,Level 1,57.72,0,5,196,97.38,Home,2,12,5,Completed,2027-03-21,2025-11-14 15:16:57.525726
ASG_000072,EMP_001262,FAM_000651,2018-10-02,Assigned,Better form fish Mrs there PM improve.,3.61,Level 4,75.62,8,7,60,47.0,Home,176,18,5,Scheduled,2026-03-05,2025-11-14 15:16:57.525726
ASG_000073,EMP_000070,FAM_001807,2025-02-13,Escalated,Face enter enough onto.,4.07,Level 4,42.53,8,19,140,71.25,Home,84,11,2,Completed,2026-12-10,2025-11-14 15:16:57.525726
ASG_000074,EMP_001030,FAM_000569,2017-05-18,Closed,Account prepare job note yeah.,1.6,Level 3,54.33,2,13,67,32.87,Center,29,12,5,Pending Review,2027-09-06,2025-11-14 15:16:57.525726
ASG_000075,EMP_000447,FAM_000895,2018-11-06,Closed,Money allow article sort.,3.7,Level 1,53.55,4,12,292,17.02,Home,288,7,2,Pending Review,2026-09-01,2025-11-14 15:16:57.525726
ASG_000076,EMP_000065,FAM_000557,2018-02-27,Escalated,Tonight if need street best why mouth finish Democrat.,3.77,Level 4,0.42,5,20,176,98.26,Center,39,16,1,Completed,2026-06-06,2025-11-14 15:16:57.525726
ASG_000077,EMP_000375,FAM_001982,2019-02-14,Assigned,Forget media fear several suggest your air born body.,3.55,Level 2,21.7,8,12,31,54.34,Home,140,11,3,Completed,2025-12-17,2025-11-14 15:16:57.525726
ASG_000078,EMP_001352,FAM_002803,2018-04-19,Closed,Boy do song check friend.,3.99,Level 3,24.42,6,3,177,18.03,School,129,20,4,Pending Review,2027-07-19,2025-11-14 15:16:57.525726
ASG_000079,EMP_000847,FAM_002509,2020-10-28,Assigned,Human million blue technology wonder go.,1.8,Level 4,89.42,3,15,10,100.24,Home,187,5,0,Completed,2026-01-12,2025-11-14 15:16:57.525726
ASG_000080,EMP_001150,FAM_002145,2017-05-17,Completed,View put movie him computer artist hotel hotel hope well.,4.79,Level 2,69.41,7,1,191,50.08,School,41,17,3,Pending Review,2026-01-28,2025-11-14 15:16:57.525726
ASG_000081,EMP_000557,FAM_001250,2019-05-22,Closed,Inside possible television seem book.,2.46,Level 2,73.33,0,0,208,44.72,School,298,13,2,Completed,2027-09-06,2025-11-14 15:16:57.525726
ASG_000082,EMP_001020,FAM_001319,2022-09-11,Assigned,Memory population decide laugh whose stock act have.,3.79,Level 2,69.35,2,4,160,57.76,School,108,18,4,Completed,2026-03-05,2025-11-14 15:16:57.525726
ASG_000083,EMP_000667,FAM_000323,2025-06-18,Escalated,Beyond role sound enjoy kitchen source mouth probably create.,2.02,Level 4,50.05,9,6,104,17.86,School,264,11,1,Pending Review,2026-11-26,2025-11-14 15:16:57.525726
ASG_000084,EMP_000041,FAM_002944,2018-05-31,Assigned,Gas six name institution direction just democratic across race none young.,1.47,Level 1,56.66,6,14,152,12.55,Home,130,19,3,Completed,2025-11-14,2025-11-14 15:16:57.525726
ASG_000085,EMP_001500,FAM_001491,2018-09-17,Escalated,Dog art type meeting center behind minute second wrong each.,2.27,Level 1,14.6,2,12,138,72.44,School,284,1,3,Completed,2026-02-27,2025-11-14 15:16:57.525726
ASG_000086,EMP_000434,FAM_001155,2020-02-19,Closed,Something win heavy read someone understand whom sense artist.,1.34,Level 1,84.26,10,13,140,77.56,School,178,3,2,Completed,2027-03-24,2025-11-14 15:16:57.525726
ASG_000087,EMP_000874,FAM_000121,2025-08-19,Closed,Activity position rather follow federal reduce cover part energy.,4.87,Level 3,97.83,3,1,93,104.96,School,114,6,3,Scheduled,2026-11-11,2025-11-14 15:16:57.525726
ASG_000088,EMP_000667,FAM_000066,2025-01-17,Escalated,Will customer buy increase game always protect paper nor.,3.22,Level 1,9.83,6,7,294,41.9,Center,44,1,2,Completed,2026-09-17,2025-11-14 15:16:57.525726
ASG_000089,EMP_000688,FAM_000953,2018-10-17,Assigned,Produce appear listen her rate federal boy about head ago.,2.92,Level 4,28.98,7,9,152,109.34,School,73,17,3,Scheduled,2026-04-15,2025-11-14 15:16:57.525726
ASG_000090,EMP_000031,FAM_000940,2019-09-03,Closed,Agency use group agree produce class hour kitchen perform recently.,4.5,Level 3,86.0,3,4,83,34.81,School,276,13,2,Pending Review,2026-03-20,2025-11-14 15:16:57.525726
ASG_000091,EMP_001277,FAM_000899,2017-02-18,Closed,Able exist knowledge develop anything yeah price already.,4.38,Level 4,40.9,0,8,119,19.22,Center,34,3,5,Pending Review,2026-01-08,2025-11-14 15:16:57.525726
ASG_000092,EMP_001040,FAM_002667,2019-08-10,Closed,Agree house continue ten policy charge other to next standard officer.,2.96,Level 4,46.85,9,19,46,87.52,School,298,0,3,Pending Review,2027-06-27,2025-11-14 15:16:57.525726
ASG_000093,EMP_000113,FAM_001277,2021-11-05,Escalated,Race race worker our key order sing they various organization.,2.37,Level 2,19.65,5,10,55,70.45,Center,42,13,1,Scheduled,2026-02-23,2025-11-14 15:16:57.525726
ASG_000094,EMP_001233,FAM_001279,2018-11-26,Closed,Which others sit tend hope chair.,2.05,Level 3,32.63,8,11,269,104.87,Center,27,12,3,Completed,2026-04-24,2025-11-14 15:16:57.525726
ASG_000095,EMP_000285,FAM_002838,2020-10-11,Completed,Long hard south tax safe through.,4.34,Level 3,37.06,2,5,16,61.66,Home,180,8,2,Scheduled,2026-07-24,2025-11-14 15:16:57.525726
ASG_000096,EMP_001113,FAM_002027,2022-04-15,Closed,When on weight improve key difficult TV.,1.62,Level 3,68.89,8,1,94,102.76,Center,227,0,0,Pending Review,2027-11-09,2025-11-14 15:16:57.525726
ASG_000097,EMP_000844,FAM_002521,2020-07-16,Completed,Discover star nothing behavior music both moment response standard.,5.0,Level 3,91.24,7,14,177,30.86,Home,240,18,1,Completed,2026-10-11,2025-11-14 15:16:57.525726
ASG_000098,EMP_001225,FAM_002761,2016-04-04,Completed,Strategy pattern tree smile affect artist by risk model must.,1.26,Level 4,88.74,10,17,231,41.07,Center,226,10,0,Completed,2026-01-12,2025-11-14 15:16:57.525726
ASG_000099,EMP_001395,FAM_000842,2024-03-17,Assigned,Recently morning rule identify fill reason plant sit happen soldier.,2.43,Level 4,79.21,9,0,28,84.11,School,170,3,4,Scheduled,2026-12-27,2025-11-14 15:16:57.525726
ASG_000100,EMP_000556,FAM_002739,2023-06-27,Assigned,Rock boy crime east piece ability sure machine.,2.7,Level 1,62.03,6,3,21,108.74,Home,175,7,2,Pending Review,2027-04-24,2025-11-14 15:16:57.525726
ASG_000101,EMP_000624,FAM_000504,2022-01-21,Escalated,Position service others the air.,3.76,Level 2,6.76,4,16,269,11.11,Home,147,15,0,Scheduled,2027-06-22,2025-11-14 15:16:57.525726
ASG_000102,EMP_000056,FAM_001012,2022-03-12,Closed,Stuff director wear soldier specific why.,4.29,Level 2,51.41,3,17,225,36.93,Center,182,16,3,Scheduled,2026-07-13,2025-11-14 15:16:57.525726
ASG_000103,EMP_001417,FAM_002537,2022-06-09,Assigned,Hit bag determine political bag behavior member realize kind debate add.,2.23,Level 3,46.04,0,1,27,65.36,School,194,6,0,Scheduled,2026-02-17,2025-11-14 15:16:57.525726
ASG_000104,EMP_001400,FAM_002087,2024-10-18,Closed,Seem range though conference one act air soldier.,4.01,Level 2,45.23,0,4,137,77.34,School,203,16,3,Pending Review,2026-04-24,2025-11-14 15:16:57.525726
ASG_000105,EMP_001471,FAM_000759,2023-11-19,Assigned,Real office hundred station usually.,4.84,Level 4,25.02,10,19,195,12.57,Center,10,15,0,Pending Review,2026-01-23,2025-11-14 15:16:57.525726
ASG_000106,EMP_000018,FAM_000390,2016-07-05,Escalated,Join walk service owner recognize picture.,4.28,Level 4,45.14,10,17,36,14.34,Center,262,16,4,Pending Review,2025-12-18,2025-11-14 15:16:57.525726
ASG_000107,EMP_000603,FAM_001265,2022-09-13,Completed,This reveal situation training available nor commercial miss.,4.32,Level 4,60.19,2,13,61,53.9,School,112,10,4,Pending Review,2027-10-02,2025-11-14 15:16:57.525726
ASG_000108,EMP_000235,FAM_002029,2024-01-18,Completed,Own computer wrong admit institution letter nature agreement turn.,2.76,Level 3,84.29,2,9,73,42.28,School,114,1,5,Completed,2026-01-27,2025-11-14 15:16:57.525726
ASG_000109,EMP_000810,FAM_002006,2017-03-06,Completed,Operation whether feeling dog owner popular free quickly industry.,2.13,Level 2,93.58,5,4,143,85.75,Center,125,3,0,Pending Review,2027-05-14,2025-11-14 15:16:57.525726
ASG_000110,EMP_001095,FAM_002402,2020-08-12,Closed,Fire music conference red least region.,4.26,Level 1,65.3,7,19,94,39.23,Center,199,7,3,Pending Review,2026-05-22,2025-11-14 15:16:57.525726
ASG_000111,EMP_000048,FAM_001865,2017-01-04,Assigned,Quality experience song toward trade black set they audience.,2.63,Level 1,40.19,7,8,108,100.0,Home,115,5,5,Scheduled,2027-03-09,2025-11-14 15:16:57.525726
ASG_000112,EMP_001473,FAM_000129,2017-07-05,Closed,Whatever tell every speech meet meeting now speak add.,1.2,Level 1,0.19,7,15,30,26.01,School,206,10,5,Scheduled,2026-03-15,2025-11-14 15:16:57.525726
ASG_000113,EMP_000945,FAM_001093,2019-10-07,Completed,Indicate family event choice through few large heart.,2.52,Level 3,7.58,8,20,82,46.8,Home,186,7,5,Pending Review,2027-01-18,2025-11-14 15:16:57.525726
ASG_000114,EMP_000237,FAM_001015,2024-01-01,Completed,Including hope then nearly visit base all leave fill.,2.87,Level 2,74.81,3,2,196,38.08,School,180,8,5,Completed,2026-07-23,2025-11-14 15:16:57.525726
ASG_000115,EMP_000748,FAM_000168,2021-06-25,Escalated,State important simply pressure today himself day affect defense son.,1.72,Level 3,24.87,2,18,188,77.52,Home,69,16,4,Pending Review,2027-05-13,2025-11-14 15:16:57.525726
ASG_000116,EMP_000919,FAM_002203,2016-03-05,Closed,You dark example help area beyond attention.,3.56,Level 4,21.2,4,5,120,75.21,Center,56,1,4,Scheduled,2027-07-19,2025-11-14 15:16:57.525726
ASG_000117,EMP_000097,FAM_002302,2020-05-26,Completed,Hot those inside and plan number Congress city stock condition.,4.16,Level 1,52.13,6,0,117,79.97,Home,242,3,2,Pending Review,2025-12-15,2025-11-14 15:16:57.525726
ASG_000118,EMP_000598,FAM_002006,2020-07-06,Completed,Letter west success life head popular school sea either.,3.56,Level 2,64.4,4,2,251,45.53,Home,155,20,5,Pending Review,2027-09-16,2025-11-14 15:16:57.525726
ASG_000119,EMP_000664,FAM_001937,2017-11-11,Closed,Civil clearly hope rise occur friend size tell both build.,3.22,Level 2,90.2,8,4,175,12.03,Center,249,10,4,Scheduled,2027-06-10,2025-11-14 15:16:57.525726
ASG_000120,EMP_001072,FAM_000060,2024-12-04,Assigned,Consumer court college show floor.,4.46,Level 3,23.47,10,2,177,47.87,Center,243,16,3,Pending Review,2026-05-06,2025-11-14 15:16:57.525726
ASG_000121,EMP_000567,FAM_002463,2015-12-09,Closed,Onto research especially along just president newspaper.,2.53,Level 2,58.08,7,20,167,82.83,School,64,8,0,Completed,2027-11-05,2025-11-14 15:16:57.525726
ASG_000122,EMP_000574,FAM_001995,2016-02-05,Escalated,Try same hospital stock so.,1.28,Level 1,52.76,7,9,213,92.32,Home,46,11,1,Scheduled,2027-03-03,2025-11-14 15:16:57.525726
ASG_000123,EMP_001263,FAM_001689,2021-06-04,Assigned,Walk forward sign beautiful.,4.6,Level 1,50.02,0,15,20,104.51,School,241,15,5,Scheduled,2025-11-21,2025-11-14 15:16:57.525726
ASG_000124,EMP_001422,FAM_001175,2025-09-11,Escalated,Tax everybody risk discuss poor enjoy.,2.33,Level 4,63.99,0,12,259,10.37,School,268,12,0,Completed,2026-04-13,2025-11-14 15:16:57.525726
ASG_000125,EMP_000690,FAM_002687,2019-12-21,Completed,To chance if chance letter light majority tonight early.,4.32,Level 4,74.54,5,14,153,97.35,Center,6,12,2,Completed,2027-10-11,2025-11-14 15:16:57.525726
