event_id,program_id,geo_id,event_name,event_type,event_date,participants_count,event_count,families_engaged,partners_engaged,volunteers_involved,calls_received,calls_resolved,avg_resolution_time_min,campaign_reach,campaign_type,feedback_score,satisfaction_rate,outcome_category,cost_per_event,channel_type,participation_score,attendance_count
EVT_000025,PGM_00216,GEO_0025,Public-key object-oriented capacity,Conference,2021-07-02,278,5,69,6,67,27,362,72.49,15601,SMS,2.78,67.66,Partial,7870.04,Phone,82.28,337
EVT_000026,PGM_00185,GEO_0054,Pre-emptive interactive adapter,Conference,2024-12-03,133,5,76,10,36,112,115,43.29,717,SMS,1.89,54.95,Success,17215.65,Phone,35.55,437
EVT_000027,PGM_00347,GEO_0165,Programmable systemic info-mediaries,Conference,2021-02-06,447,1,21,18,43,18,356,18.15,11639,In-person,1.88,67.11,Success,12954.86,SMS,90.43,290
EVT_000028,PGM_00421,GEO_0116,Balanced static firmware,Training,2016-08-12,299,1,136,9,77,87,57,73.88,1261,Email,2.6,25.82,Failed,6659.77,Online,5.3,401
EVT_000029,PGM_00397,GEO_0143,Decentralized local application,Webinar,2019-10-14,310,3,76,6,52,126,255,93.58,6778,Email,4.39,44.03,Success,19694.56,In-person,2.83,5
EVT_000030,PGM_00462,GEO_0169,Persistent web-enabled implementation,Webinar,2018-07-05,74,1,127,15,99,152,213,100.23,3360,Email,2.85,4.03,Success,15573.97,Phone,47.49,485
EVT_000031,PGM_00153,GEO_0026,Re-contextualized coherent productivity,Outreach,2022-11-19,271,3,100,14,89,292,80,88.49,17755,Phone,3.95,67.68,Partial,4818.6,In-person,61.52,377
EVT_000032,PGM_00016,GEO_0113,Seamless upward-trending alliance,Outreach,2025-10-20,407,5,67,1,40,445,133,119.77,17155,SMS,3.47,10.28,Success,9433.39,Online,45.06,319
EVT_000033,PGM_00182,GEO_0077,User-friendly coherent monitoring,Training,2022-10-14,92,4,113,18,30,120,152,68.81,1757,Phone,4.53,88.01,Success,13201.05,Phone,93.8,10
EVT_000034,PGM_00136,GEO_0101,Organized directional adapter,Outreach,2024-07-02,234,3,46,1,43,220,143,73.91,13286,Email,1.71,24.71,Partial,6660.18,In-person,19.9,79
EVT_000035,PGM_00215,GEO_0194,Networked full-range success,Webinar,2016-10-11,160,4,189,2,48,119,359,64.34,15777,SMS,2.52,59.46,Failed,6414.41,SMS,56.37,324
EVT_000036,PGM_00446,GEO_0124,Seamless discrete data-warehouse,Outreach,2016-11-18,106,3,108,17,35,457,197,101.51,10127,SMS,4.54,94.3,Success,6242.46,In-person,79.19,148
EVT_000037,PGM_00298,GEO_0150,Universal contextually-based installation,Training,2019-01-02,32,1,105,20,87,421,99,108.48,16963,In-person,3.96,15.94,Partial,1058.99,SMS,46.46,232
EVT_000038,PGM_00471,GEO_0055,User-centric content-based matrix,Training,2021-03-16,277,2,4,13,21,262,295,75.13,15958,SMS,2.57,6.35,Success,16441.0,Phone,31.38,54
EVT_000039,PGM_00488,GEO_0015,Universal radical approach,Conference,2025-02-25,149,3,39,9,43,222,500,89.47,5767,In-person,2.29,19.67,Failed,14117.53,Phone,3.83,421
EVT_000040,PGM_00020,GEO_0065,Configurable dedicated productivity,Webinar,2023-10-11,252,1,83,19,50,339,202,119.96,2239,Phone,2.01,84.64,Success,18966.28,Phone,25.53,439
EVT_000041,PGM_00482,GEO_0148,Pre-emptive bottom-line approach,Conference,2016-07-26,122,5,76,15,64,16,215,111.35,13307,Phone,2.27,53.35,Partial,9459.4,SMS,70.6,59
EVT_000042,PGM_00241,GEO_0059,Persistent client-server framework,Outreach,2019-09-03,128,1,89,17,68,219,95,114.91,5145,SMS,4.68,67.41,Failed,7841.59,SMS,26.75,145
EVT_000043,PGM_00109,GEO_0134,Fully-configurable responsive open architecture,Training,2016-03-19,59,2,32,6,3,468,409,82.75,6524,Email,4.91,51.12,Failed,6715.68,In-person,81.59,365
EVT_000044,PGM_00097,GEO_0199,User-centric clear-thinking projection,Training,2024-01-04,133,2,15,8,69,66,401,19.64,15643,Email,1.14,26.26,Success,9180.82,Phone,74.11,242
EVT_000045,PGM_00397,GEO_0127,Front-line dynamic system engine,Conference,2021-08-01,230,1,79,13,52,4,133,63.91,5500,Phone,1.54,84.12,Success,5400.73,Phone,64.43,468
EVT_000046,PGM_00490,GEO_0027,Right-sized dedicated collaboration,Conference,2019-01-30,412,2,153,5,46,37,283,103.97,9674,In-person,3.8,36.65,Success,13224.56,In-person,73.7,30
EVT_000047,PGM_00483,GEO_0179,Implemented responsive standardization,Outreach,2023-01-05,146,5,82,7,82,458,6,49.24,16972,In-person,3.76,50.68,Partial,14493.21,SMS,38.31,255
EVT_000048,PGM_00260,GEO_0175,Synchronized fresh-thinking core,Conference,2016-11-05,128,4,64,10,74,461,68,66.6,16251,In-person,4.7,95.59,Partial,13670.81,Phone,74.65,308
EVT_000049,PGM_00471,GEO_0071,Intuitive didactic policy,Outreach,2024-02-26,54,5,104,1,23,485,111,22.23,14490,In-person,1.35,26.74,Success,19671.64,Phone,58.64,288
EVT_000050,PGM_00273,GEO_0004,Open-source tangible policy,Training,2022-04-14,339,1,105,20,37,26,71,35.5,6827,In-person,2.14,51.38,Partial,18210.9,In-person,89.61,313
EVT_000051,PGM_00121,GEO_0063,Persistent object-oriented architecture,Training,2020-11-30,204,5,44,15,6,271,184,33.05,3010,Email,1.15,54.78,Partial,18601.5,SMS,65.19,449
EVT_000052,PGM_00303,GEO_0077,Function-based fresh-thinking framework,Training,2021-11-01,472,4,145,1,96,324,326,73.07,13248,Phone,3.37,58.46,Failed,14207.9,Online,20.52,80
EVT_000053,PGM_00489,GEO_0019,User-friendly 24/7 intranet,Outreach,2018-06-21,387,4,40,10,88,339,425,6.86,3580,Email,4.81,26.89,Failed,2940.96,Online,25.9,41
EVT_000054,PGM_00078,GEO_0107,Expanded user-facing capability,Conference,2023-09-10,295,1,150,11,54,240,54,118.71,7216,Phone,3.67,65.12,Failed,19364.45,Online,19.8,46
EVT_000055,PGM_00401,GEO_0034,Open-source transitional support,Training,2016-02-06,293,5,132,7,26,314,481,107.62,5571,SMS,1.39,60.08,Failed,11244.72,Online,36.21,115
EVT_000056,PGM_00102,GEO_0075,Devolved radical installation,Training,2020-06-18,477,4,38,2,2,46,365,2.93,14648,Email,2.87,86.99,Success,12675.8,Phone,50.81,167
EVT_000057,PGM_00175,GEO_0046,Distributed fresh-thinking challenge,Webinar,2024-06-04,331,1,195,4,97,288,27,38.1,9020,SMS,4.49,4.38,Partial,16896.34,In-person,22.88,82
EVT_000058,PGM_00352,GEO_0078,Customer-focused bifurcated analyzer,Conference,2021-06-05,339,2,124,20,53,293,40,56.41,15565,Email,2.33,19.2,Partial,9258.61,Online,78.13,422
EVT_000059,PGM_00413,GEO_0067,Adaptive non-volatile attitude,Conference,2021-11-29,480,3,149,3,40,429,498,21.39,2434,Email,1.99,9.18,Success,15350.47,Phone,51.05,169
EVT_000060,PGM_00478,GEO_0120,Customizable dedicated customer loyalty,Webinar,2020-09-18,149,2,19,11,16,320,217,89.7,3229,In-person,3.59,89.34,Success,6243.14,Phone,5.85,180
EVT_000061,PGM_00018,GEO_0191,Open-architected 24hour standardization,Webinar,2016-09-11,295,2,50,20,18,391,279,112.88,973,Email,3.45,78.22,Success,11226.85,Phone,45.46,242
EVT_000062,PGM_00244,GEO_0105,Profit-focused global standardization,Webinar,2015-12-27,140,3,52,5,10,327,67,87.22,6732,Phone,1.35,63.02,Partial,12176.87,SMS,16.73,498
EVT_000063,PGM_00299,GEO_0195,Persistent radical algorithm,Outreach,2025-09-18,482,3,81,6,78,150,148,39.58,16001,Phone,4.92,63.75,Failed,11930.22,Phone,46.09,166
EVT_000064,PGM_00444,GEO_0125,Seamless tertiary budgetary management,Webinar,2023-06-27,334,4,142,18,9,212,337,87.36,14257,In-person,1.51,46.07,Failed,15664.51,In-person,86.93,284
EVT_000065,PGM_00424,GEO_0061,Upgradable systematic focus group,Webinar,2018-11-11,147,5,176,0,97,362,294,11.29,1411,Email,1.74,85.12,Failed,10832.72,SMS,95.87,398
EVT_000066,PGM_00155,GEO_0161,Streamlined user-facing project,Outreach,2025-02-15,172,4,79,10,2,24,251,30.58,7460,In-person,3.26,92.47,Partial,18083.29,Phone,82.39,447
EVT_000067,PGM_00312,GEO_0124,Realigned contextually-based functionalities,Outreach,2018-09-28,136,5,110,15,45,61,102,89.82,3087,Phone,1.37,37.92,Partial,6768.63,Online,44.59,304
EVT_000068,PGM_00161,GEO_0182,Grass-roots heuristic info-mediaries,Outreach,2017-11-15,195,5,126,20,66,460,377,83.76,18148,In-person,1.91,51.93,Partial,12328.88,Online,46.67,488
EVT_000069,PGM_00138,GEO_0002,Front-line 24/7 infrastructure,Training,2023-10-19,320,3,97,2,74,320,422,108.55,16113,Phone,1.86,11.23,Failed,5210.28,Phone,41.24,19
EVT_000070,PGM_00385,GEO_0026,Decentralized hybrid encoding,Training,2022-06-13,417,5,128,9,88,334,31,65.77,18967,SMS,4.75,57.25,Partial,18618.79,SMS,40.41,43
EVT_000071,PGM_00351,GEO_0080,Distributed multimedia portal,Outreach,2023-08-24,298,2,108,1,95,404,139,42.57,15737,SMS,2.43,33.43,Success,2599.27,SMS,42.65,41
EVT_000072,PGM_00278,GEO_0063,Extended encompassing model,Conference,2024-09-10,274,5,65,8,11,292,162,58.2,19485,Phone,4.52,26.28,Failed,11622.06,SMS,2.02,364
EVT_000073,PGM_00377,GEO_0130,Customizable high-level knowledgebase,Training,2021-07-29,170,2,108,20,79,193,6,87.74,7971,Phone,3.79,62.17,Failed,11556.97,Phone,75.71,133
EVT_000074,PGM_00169,GEO_0070,Triple-buffered asynchronous functionalities,Training,2021-07-02,22,2,89,5,57,370,290,86.5,4797,Phone,2.55,80.03,Partial,2082.89,Phone,92.39,63
EVT_000075,PGM_00338,GEO_0137,Vision-oriented system-worthy capability,Webinar,2025-07-18,434,5,63,16,67,191,357,6.85,5223,In-person,4.13,33.72,Partial,1877.08,In-person,38.95,185
EVT_000076,PGM_00048,GEO_0121,Persistent heuristic leverage,Conference,2017-04-30,223,4,44,4,97,235,165,34.16,6590,SMS,1.2,33.58,Success,5807.68,SMS,90.16,320
EVT_000077,PGM_00389,GEO_0039,Customer-focused bifurcated flexibility,Webinar,2019-08-08,179,3,147,3,19,236,190,78.15,7303,Email,1.75,82.23,Success,5707.92,SMS,58.5,455
EVT_000078,PGM_00476,GEO_0041,Monitored bandwidth-monitored project,Training,2021-06-11,188,5,21,19,78,494,134,30.03,9044,Email,2.9,80.64,Failed,14345.62,SMS,30.92,20
EVT_000079,PGM_00477,GEO_0192,Adaptive fault-tolerant installation,Outreach,2016-12-24,444,4,15,11,63,22,103,89.07,19661,Phone,1.6,5.9,Failed,7727.42,In-person,25.96,114
EVT_000080,PGM_00444,GEO_0071,Virtual content-based throughput,Training,2018-04-29,28,1,72,12,63,27,187,34.38,18166,SMS,2.52,17.32,Failed,10621.53,Online,63.96,489
EVT_000081,PGM_00469,GEO_0134,Horizontal regional productivity,Webinar,2023-12-09,425,2,82,20,8,97,425,31.98,11823,SMS,1.46,97.19,Partial,7276.96,Phone,86.44,312
EVT_000082,PGM_00415,GEO_0151,Polarized clear-thinking flexibility,Outreach,2018-01-24,42,5,25,12,86,64,31,36.55,15716,Email,4.52,83.67,Partial,3646.46,Phone,79.92,346
EVT_000083,PGM_00186,GEO_0087,Universal transitional system engine,Training,2023-02-06,361,4,29,10,76,464,377,50.19,6552,Phone,1.54,97.54,Success,8711.17,Phone,76.55,143
EVT_000084,PGM_00318,GEO_0163,Universal exuding process improvement,Training,2017-11-24,63,3,79,4,58,264,345,74.25,11996,SMS,4.96,78.04,Success,10145.07,In-person,40.81,222
EVT_000085,PGM_00088,GEO_0182,De-engineered tertiary matrix,Outreach,2018-10-30,49,2,134,10,51,288,23,47.9,4850,In-person,1.55,37.18,Success,14026.59,SMS,38.18,25
EVT_000086,PGM_00373,GEO_0063,Compatible national framework,Conference,2024-05-08,309,2,153,6,63,308,411,22.55,2,In-person,4.86,92.48,Failed,2128.61,In-person,50.88,311
EVT_000087,PGM_00209,GEO_0023,Realigned asynchronous time-frame,Training,2016-05-09,241,1,161,10,32,260,343,47.89,10508,Phone,1.25,93.72,Failed,10042.86,Online,63.3,138
EVT_000088,PGM_00147,GEO_0100,Fundamental demand-driven pricing structure,Outreach,2020-03-14,42,3,160,10,100,187,28,59.71,1012,SMS,3.93,6.53,Success,1736.13,Online,81.91,346
EVT_000089,PGM_00056,GEO_0068,Networked clear-thinking firmware,Training,2020-10-19,170,4,162,2,39,146,61,53.31,18845,In-person,4.99,27.75,Partial,16569.4,Phone,32.2,451
EVT_000090,PGM_00115,GEO_0118,Centralized empowering artificial intelligence,Outreach,2018-02-11,35,2,164,18,19,462,364,66.62,7435,In-person,1.25,57.69,Failed,3971.85,Phone,34.7,91
EVT_000091,PGM_00170,GEO_0027,Virtual next generation ability,Webinar,2020-08-03,249,1,41,13,54,312,246,110.62,766,Phone,3.85,64.95,Success,18481.51,Online,68.52,75
EVT_000092,PGM_00281,GEO_0109,Polarized zero-defect firmware,Outreach,2025-07-07,235,4,171,11,25,318,476,6.12,13305,SMS,3.76,90.39,Partial,6845.81,SMS,84.82,500
EVT_000093,PGM_00101,GEO_0003,Universal impactful complexity,Training,2023-06-12,310,3,111,17,32,194,47,89.13,10762,In-person,2.8,70.29,Success,12320.71,Online,29.9,437
EVT_000094,PGM_00156,GEO_0134,Ameliorated high-level open architecture,Webinar,2016-08-12,103,1,98,5,32,22,320,33.95,6999,SMS,4.83,81.47,Failed,19404.0,SMS,12.22,285
EVT_000095,PGM_00217,GEO_0051,Assimilated executive algorithm,Outreach,2017-10-07,329,5,190,11,40,190,406,50.37,4105,Phone,3.64,61.54,Failed,4632.6,Phone,68.49,254
EVT_000096,PGM_00357,GEO_0157,Function-based fault-tolerant matrices,Conference,2018-03-11,439,3,83,5,5,109,49,43.11,14077,Email,3.73,19.92,Failed,6935.46,In-person,9.05,249
EVT_000097,PGM_00197,GEO_0132,User-centric national core,Training,2024-05-09,29,3,145,11,34,307,117,13.52,15669,SMS,3.1,87.6,Failed,7724.99,In-person,66.81,447
EVT_000098,PGM_00348,GEO_0129,Distributed local solution,Conference,2019-07-04,294,1,112,12,46,452,108,23.21,1864,Phone,2.22,13.04,Failed,5974.65,Online,0.88,125
EVT_000099,PGM_00076,GEO_0171,Stand-alone exuding website,Webinar,2017-04-17,373,1,143,3,15,377,322,92.03,9337,SMS,1.67,2.27,Partial,6261.69,SMS,57.12,480
EVT_000100,PGM_00396,GEO_0120,Diverse attitude-oriented solution,Outreach,2016-06-12,84,5,73,1,36,360,198,36.09,9308,In-person,2.75,6.88,Success,12719.8,SMS,2.13,372
EVT_000101,PGM_00278,GEO_0027,Total 5thgeneration algorithm,Outreach,2019-03-03,461,1,2,0,1,106,379,90.92,15433,In-person,2.07,18.12,Partial,403.89,SMS,81.21,188
EVT_000102,PGM_00465,GEO_0192,Exclusive intangible neural-net,Webinar,2024-10-22,278,2,163,1,50,442,475,23.94,5539,SMS,4.17,77.96,Partial,3030.96,In-person,27.17,213
EVT_000103,PGM_00107,GEO_0043,Customer-focused responsive standardization,Webinar,2017-07-14,273,3,72,5,80,284,74,35.96,11381,Email,1.62,24.19,Success,15827.1,Phone,13.69,310
EVT_000104,PGM_00454,GEO_0166,Polarized even-keeled infrastructure,Webinar,2019-11-23,252,1,122,5,1,331,411,107.15,19834,Email,4.27,57.36,Failed,16360.84,Online,17.88,450
EVT_000105,PGM_00283,GEO_0084,Centralized solution-oriented benchmark,Webinar,2024-03-02,429,2,12,16,29,164,336,53.68,9091,In-person,4.47,49.98,Success,4288.41,Phone,27.5,158
EVT_000106,PGM_00387,GEO_0034,Cross-platform national software,Webinar,2016-05-26,410,4,93,0,74,78,89,99.15,15522,Email,2.05,52.38,Success,546.09,Phone,26.01,333
EVT_000107,PGM_00302,GEO_0069,Intuitive multimedia solution,Conference,2021-05-08,298,4,69,5,22,204,61,69.17,11281,Email,3.13,27.52,Failed,18153.52,SMS,37.76,141
EVT_000108,PGM_00289,GEO_0089,Multi-channeled homogeneous artificial intelligence,Webinar,2022-01-11,366,5,199,4,85,336,4,2.44,8677,Phone,2.94,33.11,Failed,16539.39,In-person,90.8,436
EVT_000109,PGM_00371,GEO_0055,Front-line homogeneous help-desk,Training,2016-07-09,232,3,190,14,86,92,67,23.67,11209,Phone,3.7,81.64,Failed,14618.38,Online,63.97,305
EVT_000110,PGM_00084,GEO_0018,Function-based directional system engine,Conference,2020-04-16,23,3,13,11,40,34,23,67.03,5984,In-person,4.33,66.33,Partial,5149.32,In-person,20.19,219
EVT_000111,PGM_00289,GEO_0108,Right-sized asymmetric superstructure,Conference,2022-05-07,77,1,54,8,99,252,430,13.36,19431,Email,2.24,69.71,Failed,8006.01,In-person,40.66,72
EVT_000112,PGM_00251,GEO_0155,Re-contextualized homogeneous task-force,Conference,2023-07-14,132,5,33,13,40,195,75,29.59,15654,SMS,2.0,62.12,Failed,17009.43,SMS,56.85,456
EVT_000113,PGM_00488,GEO_0105,Exclusive national collaboration,Webinar,2020-05-23,245,4,34,1,19,98,362,52.97,9678,Email,3.94,73.63,Partial,14034.74,Phone,71.14,43
EVT_000114,PGM_00274,GEO_0120,Customizable analyzing throughput,Outreach,2016-04-30,145,3,67,20,36,77,118,95.67,10440,Phone,1.7,31.05,Failed,1732.98,Phone,92.79,384
EVT_000115,PGM_00472,GEO_0110,Enhanced systemic standardization,Training,2022-01-08,422,2,63,13,100,0,23,30.22,15674,Phone,1.16,31.4,Failed,13080.02,Phone,57.44,335
EVT_000116,PGM_00003,GEO_0053,Self-enabling dynamic data-warehouse,Webinar,2019-04-09,119,5,184,14,98,3,280,1.81,13051,Email,2.85,13.27,Partial,18507.58,SMS,65.12,315
EVT_000117,PGM_00043,GEO_0044,Profit-focused 24hour project,Conference,2024-07-13,427,2,139,12,52,500,423,27.11,14657,Email,2.11,21.05,Success,4844.94,Phone,37.33,13
EVT_000118,PGM_00086,GEO_0161,Profound national array,Webinar,2018-09-01,257,2,33,7,37,229,389,12.12,16505,Phone,3.29,15.66,Success,8402.48,In-person,86.65,459
EVT_000119,PGM_00070,GEO_0135,Realigned demand-driven implementation,Webinar,2019-01-04,53,2,28,8,91,243,258,110.11,2551,Phone,4.67,39.72,Partial,1841.94,Phone,25.83,448
EVT_000120,PGM_00216,GEO_0170,Configurable motivating encoding,Outreach,2018-04-16,25,5,109,18,15,111,10,4.02,2059,Phone,1.88,32.47,Failed,19839.16,SMS,85.41,409
EVT_000121,PGM_00108,GEO_0108,Robust local emulation,Conference,2024-11-16,328,1,85,2,37,438,307,75.05,19739,SMS,2.47,54.25,Success,13614.55,Online,34.13,262
EVT_000122,PGM_00280,GEO_0035,Reduced interactive synergy,Training,2020-01-07,411,1,15,2,66,468,400,56.88,1316,Email,4.89,38.09,Failed,19649.21,Phone,75.31,479
EVT_000123,PGM_00244,GEO_0069,Enterprise-wide global orchestration,Training,2025-07-27,30,1,40,18,3,190,162,42.93,11978,Phone,2.63,28.19,Success,8746.88,Phone,37.51,69
EVT_000124,PGM_00232,GEO_0069,Optional next generation projection,Outreach,2018-07-17,323,1,136,3,87,188,48,34.27,12747,SMS,4.66,95.4,Success,4907.6,Phone,82.18,185
EVT_000125,PGM_00260,GEO_0168,Horizontal attitude-oriented hub,Webinar,2017-05-09,369,3,10,17,83,157,219,6.36,5450,Email,4.92,30.48,Success,8264.58,In-person,66.72,215
EVT_000126,PGM_00172,GEO_0150,Total web-enabled strategy,Webinar,2022-01-13,98,3,24,9,12,158,86,69.36,17100,SMS,1.72,93.53,Failed,17388.81,SMS,98.21,482
EVT_000127,PGM_00135,GEO_0039,Multi-channeled exuding implementation,Outreach,2025-07-30,471,4,188,1,57,15,21,38.07,13857,In-person,3.38,92.53,Failed,16214.73,Online,15.43,145
EVT_000128,PGM_00383,GEO_0171,Upgradable object-oriented structure,Webinar,2016-09-16,24,2,186,5,51,266,39,4.09,6660,In-person,3.97,54.67,Success,11992.38,In-person,11.34,157
EVT_000129,PGM_00349,GEO_0087,Multi-channeled system-worthy database,Outreach,2025-10-19,367,1,79,2,79,188,307,20.22,19307,Phone,2.99,14.48,Partial,17753.63,SMS,83.03,433
EVT_000130,PGM_00374,GEO_0022,Right-sized 24hour productivity,Conference,2021-12-07,307,4,75,19,86,485,11,116.05,10537,Email,1.32,46.51,Partial,3870.6,Online,27.06,359
EVT_000131,PGM_00121,GEO_0054,Ameliorated transitional superstructure,Conference,2017-09-22,301,2,190,14,29,307,453,118.73,14588,Phone,3.29,49.78,Success,19167.09,SMS,61.59,13
EVT_000132,PGM_00087,GEO_0110,Proactive executive solution,Conference,2020-03-26,446,5,1,6,90,119,276,111.54,4720,Phone,1.61,21.91,Success,16975.28,SMS,35.65,468
EVT_000133,PGM_00225,GEO_0027,Synergistic hybrid system engine,Training,2023-07-29,194,1,106,15,21,113,310,87.21,5390,Email,3.66,11.66,Success,4853.17,Phone,43.59,472
EVT_000134,PGM_00195,GEO_0097,Centralized attitude-oriented help-desk,Webinar,2017-08-02,69,3,54,9,88,373,143,114.65,11354,Email,1.27,88.04,Success,17856.39,SMS,20.24,139
EVT_000135,PGM_00174,GEO_0142,Inverse 24hour approach,Conference,2024-07-14,11,4,87,13,33,326,202,39.1,8384,SMS,3.25,58.49,Partial,10235.95,In-person,30.88,163
EVT_000136,PGM_00329,GEO_0193,Managed grid-enabled capacity,Training,2023-06-03,148,3,131,2,53,82,314,6.78,17541,SMS,4.86,11.63,Failed,18711.55,In-person,90.31,235
EVT_000137,PGM_00439,GEO_0001,Realigned scalable synergy,Conference,2022-08-31,366,4,127,1,96,436,423,16.81,13439,SMS,3.77,26.74,Failed,11720.6,Online,71.81,224
EVT_000138,PGM_00228,GEO_0170,Adaptive directional data-warehouse,Webinar,2021-07-25,76,1,145,7,47,360,281,82.92,12247,SMS,4.51,68.55,Failed,15059.18,SMS,73.5,294
EVT_000139,PGM_00023,GEO_0048,Assimilated heuristic flexibility,Outreach,2021-10-18,239,3,68,12,9,460,0,60.31,19989,In-person,1.23,74.97,Partial,1520.48,Online,50.94,330
EVT_000140,PGM_00340,GEO_0128,User-friendly mission-critical moratorium,Webinar,2023-12-12,242,3,45,11,67,434,281,45.19,2566,In-person,4.17,83.68,Failed,16992.1,Phone,27.06,499
EVT_000141,PGM_00379,GEO_0028,Distributed well-modulated help-desk,Outreach,2025-07-18,115,2,38,0,46,75,484,119.51,6490,Phone,3.28,61.07,Partial,2159.95,SMS,44.81,214
EVT_000142,PGM_00417,GEO_0014,Digitized well-modulated framework,Training,2025-02-02,377,3,119,3,28,250,321,94.63,15989,Phone,4.05,40.07,Success,13548.05,Phone,95.72,53
EVT_000143,PGM_00282,GEO_0024,Mandatory fresh-thinking software,Webinar,2023-08-06,121,3,91,12,46,378,356,31.13,6724,SMS,4.43,42.81,Partial,14184.31,Online,35.42,494
